plant,floor_ms,scheduler,profile,vehicles,cores,exec,overrun,net_delay_ms,seed,duration_s,missed_jobs,veh,avg_perf,max_roll,soft_pct,hard,max_age_fresh_ms,max_age_path_ms,min_ttpnr_ms,past_pnr_ms,tau_crit_ms,max_sim_crit,sim_crit_over_cores_pct
lateral,-1,context,v10,10,3,worst,kill,-1.00,0,30.000,4496,0,0.033678,0.181410,0.0000,0,105.50,105.50,-1.00,0.0,100,0,0.00
lateral,-1,context,v10,10,3,worst,kill,-1.00,0,30.000,4496,1,0.040600,0.197187,0.0000,0,95.50,110.50,-1.00,0.0,100,0,0.00
lateral,-1,context,v10,10,3,worst,kill,-1.00,0,30.000,4496,2,0.047068,0.276382,0.0000,0,100.50,120.50,-1.00,0.0,100,0,0.00
lateral,-1,context,v10,10,3,worst,kill,-1.00,0,30.000,4496,3,0.040360,0.916870,0.0000,0,95.50,110.50,365.10,0.0,100,0,0.00
lateral,-1,context,v10,10,3,worst,kill,-1.00,0,30.000,4496,4,0.033515,0.318060,0.0000,0,105.50,120.50,-1.00,0.0,100,0,0.00
lateral,-1,context,v10,10,3,worst,kill,-1.00,0,30.000,4496,5,0.428491,2.267686,11.0333,0,90.50,125.50,455.10,0.0,100,0,0.00
lateral,-1,context,v10,10,3,worst,kill,-1.00,0,30.000,4496,6,0.471580,2.415861,11.9667,0,105.50,105.50,450.10,0.0,100,0,0.00
lateral,-1,context,v10,10,3,worst,kill,-1.00,0,30.000,4496,7,0.059170,0.764622,0.0000,0,105.50,110.50,415.10,0.0,100,0,0.00
lateral,-1,context,v10,10,3,worst,kill,-1.00,0,30.000,4496,8,0.066742,0.989417,0.8667,0,105.50,105.50,245.10,0.0,100,0,0.00
lateral,-1,context,v10,10,3,worst,kill,-1.00,0,30.000,4496,9,0.025580,0.198545,0.0000,0,95.50,115.50,-1.00,0.0,100,0,0.00
lateral,-1,context,v10,12,3,worst,kill,-1.00,0,30.000,12005,0,0.115503,0.337618,0.0000,0,770.50,790.50,-1.00,0.0,100,0,0.00
lateral,-1,context,v10,12,3,worst,kill,-1.00,0,30.000,12005,1,0.144475,0.694981,0.5667,0,1080.50,1100.50,-1.00,0.0,100,0,0.00
lateral,-1,context,v10,12,3,worst,kill,-1.00,0,30.000,12005,2,0.087823,0.894245,0.5667,0,540.50,560.50,395.10,0.0,100,0,0.00
lateral,-1,context,v10,12,3,worst,kill,-1.00,0,30.000,12005,3,0.103490,0.843263,0.9000,0,540.50,560.50,330.10,0.0,100,0,0.00
lateral,-1,context,v10,12,3,worst,kill,-1.00,0,30.000,12005,4,0.059848,0.392291,0.0000,0,715.50,730.50,-1.00,0.0,100,0,0.00
lateral,-1,context,v10,12,3,worst,kill,-1.00,0,30.000,12005,5,0.219876,1.680507,3.2333,0,1090.50,1110.50,480.10,0.0,100,0,0.00
lateral,-1,context,v10,12,3,worst,kill,-1.00,0,30.000,12005,6,0.464850,2.115201,10.7333,0,1100.50,1120.50,455.10,0.0,100,0,0.00
lateral,-1,context,v10,12,3,worst,kill,-1.00,0,30.000,12005,7,0.765673,3.157842,16.7000,0,805.50,825.50,415.10,0.0,100,0,0.00
lateral,-1,context,v10,12,3,worst,kill,-1.00,0,30.000,12005,8,0.269179,2.012818,5.6333,0,1950.50,1970.50,365.10,0.0,100,0,0.00
lateral,-1,context,v10,12,3,worst,kill,-1.00,0,30.000,12005,9,0.151065,0.409910,0.0000,0,630.50,650.50,-1.00,0.0,100,0,0.00
lateral,-1,context,v10,12,3,worst,kill,-1.00,0,30.000,12005,10,0.173921,0.667377,0.0000,0,640.50,665.50,305.10,0.0,100,0,0.00
lateral,-1,context,v10,12,3,worst,kill,-1.00,0,30.000,12005,11,0.166937,0.509026,0.0000,0,670.50,690.50,-1.00,0.0,100,0,0.00
lateral,-1,context,v10,14,3,worst,kill,-1.00,0,30.000,27045,0,1.159184,4.485270,29.2000,0,1730.50,1750.50,210.10,0.0,100,1,0.00
lateral,-1,context,v10,14,3,worst,kill,-1.00,0,30.000,27045,1,0.792483,3.451447,18.3667,0,1130.50,1150.50,215.10,0.0,100,1,0.00
lateral,-1,context,v10,14,3,worst,kill,-1.00,0,30.000,27045,2,0.900910,3.461157,21.3000,0,1070.50,1095.50,280.10,0.0,100,1,0.00
lateral,-1,context,v10,14,3,worst,kill,-1.00,0,30.000,27045,3,0.708830,2.028848,18.0333,0,1060.50,1080.50,385.10,0.0,100,1,0.00
lateral,-1,context,v10,14,3,worst,kill,-1.00,0,30.000,27045,4,0.507536,1.412778,8.9667,0,940.50,960.50,435.10,0.0,100,1,0.00
lateral,-1,context,v10,14,3,worst,kill,-1.00,0,30.000,27045,5,0.623026,2.121005,11.2333,0,1050.50,1070.50,330.10,0.0,100,1,0.00
lateral,-1,context,v10,14,3,worst,kill,-1.00,0,30.000,27045,6,1.009433,3.377801,23.0000,0,1075.50,1095.50,315.10,0.0,100,1,0.00
lateral,-1,context,v10,14,3,worst,kill,-1.00,0,30.000,27045,7,0.988690,3.694693,21.4667,0,1040.50,1055.50,155.10,0.0,100,1,0.00
lateral,-1,context,v10,14,3,worst,kill,-1.00,0,30.000,27045,8,1.546959,7.791521,30.8667,0,730.50,750.50,5.10,0.0,100,1,0.00
lateral,-1,context,v10,14,3,worst,kill,-1.00,0,30.000,27045,9,1.146652,3.180255,30.4667,0,1360.50,1380.50,210.10,0.0,100,1,0.00
lateral,-1,context,v10,14,3,worst,kill,-1.00,0,30.000,27045,10,1.095800,4.090896,25.0667,0,1520.50,1540.50,185.10,0.0,100,1,0.00
lateral,-1,context,v10,14,3,worst,kill,-1.00,0,30.000,27045,11,1.188600,3.332347,30.7000,0,700.50,720.50,250.10,0.0,100,1,0.00
lateral,-1,context,v10,14,3,worst,kill,-1.00,0,30.000,27045,12,1.251564,5.029038,28.8000,0,985.50,1005.50,200.10,0.0,100,1,0.00
lateral,-1,context,v10,14,3,worst,kill,-1.00,0,30.000,27045,13,1.071258,3.453566,28.9333,0,1780.50,1800.50,310.10,0.0,100,1,0.00
lateral,-1,context,v10,16,3,worst,kill,-1.00,0,30.000,41982,0,98.560444,583.382546,76.2667,1257,990.50,1010.50,0.00,15085.0,100,16,64.17
lateral,-1,context,v10,16,3,worst,kill,-1.00,0,30.000,41982,1,138.654493,1044.811537,74.4000,1165,3100.50,3120.50,0.00,14235.0,100,16,64.17
