cell,scheduler,pred_margin_ms,rm_alloc_env,vehicles,hard_z0,hard_z1,hard_z2,hard_z3,total_hard,clean,soft_z0,soft_z1,soft_z2,soft_z3,fleet_max_ey_m,ey_margin_m,age_path_ms,missed_E,missed_B,missed_F,missed_M,missed_jobs,profile,cores,exec,duration_s,git_sha
rm_alloc_no_f,rm,,0,10,0,0,0,0,0,1,1706,0,28,2485,0.4123,0.3877,95.5,0,0,0,0,0,10,3,worst,120,ef87ca8
rm_alloc_no_f,rm,,0,11,3173,1567,5243,1425,11408,0,5203,2655,7933,4050,2387.8497,-2387.0497,100.5,0,0,11998,5999,17997,10,3,worst,120,ef87ca8
rm_alloc_no_f,rm,,0,12,8573,3327,10355,2748,25003,0,10946,5393,15699,5791,2997.6196,-2996.8196,110.5,0,11998,23996,11998,47992,10,3,worst,120,ef87ca8
rm_alloc_frules,frontier-honest,100,1,12,0,0,0,0,0,1,2099,0,505,2930,0.7066,0.0934,120.5,0,0,29143,0,29143,10,3,worst,120,ef87ca8
rm_alloc_frules,frontier-honest,100,1,14,0,0,0,0,0,1,2571,254,698,3364,0.7009,0.0991,145.5,6,42,55671,74,55793,10,3,worst,120,ef87ca8
rm_alloc_frules,frontier-honest,100,1,16,225,0,55,453,733,0,3895,691,1336,4608,2.2551,-1.4551,615.5,276,5579,78430,6796,91081,10,3,worst,120,ef87ca8
rm_alloc_frules,frontier-honest,100,1,19,36453,14770,33255,7305,91783,0,44123,15529,36230,12221,3.3677251632969955e+22,-3.3677251632969955e+22,83485.5,2004,48442,98811,51821,201078,10,3,worst,120,ef87ca8
rm_alloc_frules,frontier-honest,100,1,21,57934,20038,47640,11885,137497,0,64360,21058,51650,16352,46944064913240.67,-46944064913239.875,69385.5,9979,78588,111122,81256,280945,10,3,worst,120,ef87ca8
triage_no_f,aguard-honest,80,0,18,0,0,0,0,0,1,58913,20178,44968,12649,0.7662,0.0338,1980.5,102589,35981,47918,41866,228354,10,3,worst,120,ef87ca8
triage_no_f,aguard-honest,80,0,19,0,0,0,0,0,1,61132,21164,47941,13649,0.7953,0.0047,2470.5,114761,41962,53861,47815,258399,10,3,worst,120,ef87ca8
triage_no_f,aguard-honest,80,0,20,36945,12419,27936,7524,84824,0,77483,26475,60723,16950,246634.8489,-246634.0489,7759.9,126517,47960,59909,53877,288263,10,3,worst,120,ef87ca8
triage_frules,frontier-honest,100,0,20,0,0,0,0,0,1,11604,5571,7696,7410,0.7747,0.0253,560.5,70159,19771,98187,21072,209189,10,3,worst,120,ef87ca8
triage_frules,frontier-honest,100,0,21,0,0,0,0,0,1,12822,8227,10228,7218,0.7702,0.0298,1360.5,78542,22293,106662,23604,231101,10,3,worst,120,ef87ca8
triage_frules,frontier-honest,100,0,22,0,25,0,0,25,0,13492,9316,13089,7682,0.8311,-0.0311,6780.5,87743,25308,114301,26661,254013,10,3,worst,120,ef87ca8
