channel,zone,zone_name,hold_ms_commanded,delivered_max_ms,dose_status,age_path_ms,fleet_max_ey_m,target_zone_max_ey_m,total_hard,z0_hard,z1_hard,z2_hard,z3_hard,missed_E,missed_B,missed_F,missed_M,scheduler,profile,vehicles,cores,exec,duration_s,decimation_ms,git_sha
b,0,straight,100.0,22.3,ok,170.5,0.3397,0.2895,0,0,0,0,0,0,0,0,0,rm,10,1,3,worst,120,10,ad1b84b
b,0,straight,150.0,22.3,ok,230.5,0.34,0.2909,0,0,0,0,0,0,0,0,0,rm,10,1,3,worst,120,10,ad1b84b
b,0,straight,200.0,22.3,ok,270.5,0.3392,0.292,0,0,0,0,0,0,0,0,0,rm,10,1,3,worst,120,10,ad1b84b
b,0,straight,250.0,22.3,ok,330.5,0.3411,0.2941,0,0,0,0,0,0,0,0,0,rm,10,1,3,worst,120,10,ad1b84b
b,0,straight,300.0,22.3,ok,370.5,0.3392,0.2933,0,0,0,0,0,0,0,0,0,rm,10,1,3,worst,120,10,ad1b84b
b,0,straight,350.0,22.3,ok,430.5,0.3373,0.2963,0,0,0,0,0,0,0,0,0,rm,10,1,3,worst,120,10,ad1b84b
b,0,straight,400.0,22.3,ok,470.5,0.3984,0.3984,0,0,0,0,0,0,0,0,0,rm,10,1,3,worst,120,10,ad1b84b
b,0,straight,600.0,22.3,ok,670.5,27.0817,20.2191,2806,1206,614,838,148,0,0,0,0,rm,10,1,3,worst,120,10,ad1b84b
b,0,straight,800.0,22.3,ok,870.5,1.4734,1.4647,402,253,0,31,118,0,0,0,0,rm,10,1,3,worst,120,10,ad1b84b
b,0,straight,1200.0,22.3,ok,1270.5,44608529316.2466,44608529316.2466,11726,5099,1712,3862,1053,0,0,0,0,rm,10,1,3,worst,120,10,ad1b84b
b,1,slight-turn,100.0,22.3,ok,170.5,0.3381,0.0992,0,0,0,0,0,0,0,0,0,rm,10,1,3,worst,120,10,ad1b84b
b,1,slight-turn,150.0,22.3,ok,230.5,0.3381,0.1011,0,0,0,0,0,0,0,0,0,rm,10,1,3,worst,120,10,ad1b84b
b,1,slight-turn,200.0,22.3,ok,270.5,0.3381,0.1017,0,0,0,0,0,0,0,0,0,rm,10,1,3,worst,120,10,ad1b84b
b,1,slight-turn,250.0,22.3,ok,330.5,0.3381,0.1034,0,0,0,0,0,0,0,0,0,rm,10,1,3,worst,120,10,ad1b84b
b,1,slight-turn,300.0,22.3,ok,370.5,0.3381,0.1097,0,0,0,0,0,0,0,0,0,rm,10,1,3,worst,120,10,ad1b84b
b,1,slight-turn,350.0,22.3,ok,430.5,0.3381,0.1166,0,0,0,0,0,0,0,0,0,rm,10,1,3,worst,120,10,ad1b84b
b,1,slight-turn,400.0,22.3,ok,470.5,0.338,0.1587,0,0,0,0,0,0,0,0,0,rm,10,1,3,worst,120,10,ad1b84b
b,1,slight-turn,600.0,22.3,ok,670.5,0.3376,0.2565,0,0,0,0,0,0,0,0,0,rm,10,1,3,worst,120,10,ad1b84b
