plant,scheduler,profile,vehicles,cores,exec,overrun,net_delay_ms,seed,duration_s,missed_jobs,veh,avg_perf,max_roll,soft_pct,hard,max_age_fresh_ms,max_age_path_ms,min_ttpnr_ms,past_pnr_ms,tau_crit_ms,max_sim_crit,sim_crit_over_cores_pct
lateral,rm,v10,10,3,worst,kill,-1.00,0,30.000,0,0,0.021676,0.182397,0.0000,0,90.50,90.50,-1.00,0.0,100,0,0.00
lateral,rm,v10,10,3,worst,kill,-1.00,0,30.000,0,1,0.039162,0.182397,0.0000,0,90.50,90.50,-1.00,0.0,100,0,0.00
lateral,rm,v10,10,3,worst,kill,-1.00,0,30.000,0,2,0.046246,0.268366,0.0000,0,90.50,90.50,-1.00,0.0,100,0,0.00
lateral,rm,v10,10,3,worst,kill,-1.00,0,30.000,0,3,0.037394,0.914847,0.0000,0,90.50,90.50,365.10,0.0,100,0,0.00
lateral,rm,v10,10,3,worst,kill,-1.00,0,30.000,0,4,0.030718,0.300585,0.0000,0,90.50,90.50,-1.00,0.0,100,0,0.00
lateral,rm,v10,10,3,worst,kill,-1.00,0,30.000,0,5,0.514382,2.763037,13.5333,0,90.50,90.50,435.10,0.0,100,0,0.00
lateral,rm,v10,10,3,worst,kill,-1.00,0,30.000,0,6,0.647685,3.278419,15.4333,0,85.50,95.50,410.10,0.0,100,0,0.00
lateral,rm,v10,10,3,worst,kill,-1.00,0,30.000,0,7,0.055494,0.833165,0.0000,0,85.50,85.50,410.10,0.0,100,0,0.00
lateral,rm,v10,10,3,worst,kill,-1.00,0,30.000,0,8,0.065153,0.973726,0.9333,0,85.50,85.50,215.10,0.0,100,0,0.00
lateral,rm,v10,10,3,worst,kill,-1.00,0,30.000,0,9,0.015012,0.175398,0.0000,0,85.50,85.50,-1.00,0.0,100,0,0.00
lateral,rm,v10,11,3,worst,kill,-1.00,0,30.000,4497,0,0.021676,0.182397,0.0000,0,90.50,90.50,-1.00,0.0,100,1,0.00
lateral,rm,v10,11,3,worst,kill,-1.00,0,30.000,4497,1,0.046972,0.182397,0.0000,0,90.50,90.50,-1.00,0.0,100,1,0.00
lateral,rm,v10,11,3,worst,kill,-1.00,0,30.000,4497,2,0.098398,1.063856,0.6333,0,90.50,90.50,435.10,0.0,100,1,0.00
lateral,rm,v10,11,3,worst,kill,-1.00,0,30.000,4497,3,0.034163,0.416791,0.0000,0,90.50,90.50,-1.00,0.0,100,1,0.00
lateral,rm,v10,11,3,worst,kill,-1.00,0,30.000,4497,4,0.025538,0.300585,0.0000,0,90.50,90.50,-1.00,0.0,100,1,0.00
lateral,rm,v10,11,3,worst,kill,-1.00,0,30.000,4497,5,0.534853,3.696630,12.1333,0,100.50,100.50,405.10,0.0,100,1,0.00
lateral,rm,v10,11,3,worst,kill,-1.00,0,30.000,4497,6,0.557921,2.947338,14.1667,0,85.50,85.50,425.10,0.0,100,1,0.00
lateral,rm,v10,11,3,worst,kill,-1.00,0,30.000,4497,7,0.603192,3.279302,14.6667,0,85.50,85.50,425.10,0.0,100,1,0.00
lateral,rm,v10,11,3,worst,kill,-1.00,0,30.000,4497,8,0.021174,0.167768,0.0000,0,85.50,85.50,-1.00,0.0,100,1,0.00
lateral,rm,v10,11,3,worst,kill,-1.00,0,30.000,4497,9,1.660704,15.985658,19.6000,266,85.50,85.50,0.00,3405.0,100,1,0.00
lateral,rm,v10,11,3,worst,kill,-1.00,0,30.000,4497,10,169.830506,3541.925738,15.9333,387,-1.00,-1.00,0.00,4130.0,100,1,0.00
lateral,rm,v10,12,3,worst,kill,-1.00,0,30.000,11992,0,0.023119,0.193611,0.0000,0,90.50,110.50,-1.00,0.0,100,3,0.00
lateral,rm,v10,12,3,worst,kill,-1.00,0,30.000,11992,1,0.040704,0.182397,0.0000,0,90.50,90.50,-1.00,0.0,100,3,0.00
lateral,rm,v10,12,3,worst,kill,-1.00,0,30.000,11992,2,0.075666,0.913404,0.5667,0,90.50,90.50,395.10,0.0,100,3,0.00
lateral,rm,v10,12,3,worst,kill,-1.00,0,30.000,11992,3,0.092938,0.850810,0.9333,0,90.50,90.50,330.10,0.0,100,3,0.00
lateral,rm,v10,12,3,worst,kill,-1.00,0,30.000,11992,4,0.029709,0.372205,0.0000,0,90.50,90.50,-1.00,0.0,100,3,0.00
lateral,rm,v10,12,3,worst,kill,-1.00,0,30.000,11992,5,0.145453,2.137507,2.5667,0,100.50,100.50,455.10,0.0,100,3,0.00
lateral,rm,v10,12,3,worst,kill,-1.00,0,30.000,11992,6,0.606260,3.245486,15.1333,0,85.50,85.50,425.10,0.0,100,3,0.00
lateral,rm,v10,12,3,worst,kill,-1.00,0,30.000,11992,7,0.581233,3.029576,14.4333,0,85.50,85.50,430.10,0.0,100,3,0.00
lateral,rm,v10,12,3,worst,kill,-1.00,0,30.000,11992,8,7.401093,39.302210,61.0333,676,85.50,85.50,0.00,8450.0,100,3,0.00
lateral,rm,v10,12,3,worst,kill,-1.00,0,30.000,11992,9,2.558619,16.235346,31.7000,445,85.50,85.50,0.00,5180.0,100,3,0.00
lateral,rm,v10,12,3,worst,kill,-1.00,0,30.000,11992,10,169650.081511,523892.552163,99.0000,2922,-1.00,-1.00,0.00,29655.0,100,3,0.00
