bz_hold_ms_uniform,fz_hold_ms_z3,delivered_fz3_max_ms,hard_z0,hard_z1,hard_z2,hard_z3,total_hard,clean,soft_z0,soft_z1,soft_z2,soft_z3,fleet_max_ey_m,ey_margin_m,age_path_ms,missed_E,missed_B,missed_F,missed_M,missed_jobs,profile,cores,exec,duration_s,git_sha
0,0,22.3,0,0,0,0,0,1,122,0,0,206,0.3381,0.4619,90.5,0,0,0,0,0,10,3,worst,120,ef87ca8
0,150,152.3,0,0,0,0,0,1,281,0,0,358,0.5712,0.2288,90.5,0,0,0,0,0,10,3,worst,120,ef87ca8
0,200,202.3,0,0,0,0,0,1,325,0,0,405,0.6805,0.1195,90.5,0,0,0,0,0,10,3,worst,120,ef87ca8
0,240,242.3,0,0,0,0,0,1,331,0,0,428,0.7265,0.0735,90.5,0,0,0,0,0,10,3,worst,120,ef87ca8
100,0,22.3,0,0,0,0,0,1,153,0,0,171,0.3349,0.4651,170.5,0,0,0,0,0,10,3,worst,120,ef87ca8
100,150,152.3,0,0,0,0,0,1,318,0,0,340,0.5875,0.2125,170.5,0,0,0,0,0,10,3,worst,120,ef87ca8
100,200,202.3,0,0,0,0,0,1,404,0,0,399,0.7065,0.0935,170.5,0,0,0,0,0,10,3,worst,120,ef87ca8
100,240,242.3,0,0,0,0,0,1,418,0,0,466,0.7624,0.0376,170.5,0,0,0,0,0,10,3,worst,120,ef87ca8
200,0,22.3,0,0,0,0,0,1,260,325,326,177,0.5304,0.2696,270.5,0,0,0,0,0,10,3,worst,120,ef87ca8
200,150,152.3,0,0,0,0,0,1,549,325,326,330,0.616,0.184,270.5,0,0,0,0,0,10,3,worst,120,ef87ca8
200,200,202.3,0,0,0,0,0,1,694,325,340,476,0.7659,0.0341,270.5,0,0,0,0,0,10,3,worst,120,ef87ca8
200,240,242.3,0,0,0,18,18,0,711,325,362,512,0.8235,-0.0235,270.5,0,0,0,0,0,10,3,worst,120,ef87ca8
300,0,22.3,0,0,0,0,0,1,508,0,199,360,0.6052,0.1948,360.5,0,0,0,0,0,10,3,worst,120,ef87ca8
300,150,152.3,0,0,0,0,0,1,796,0,370,481,0.7538,0.0462,360.5,0,0,0,0,0,10,3,worst,120,ef87ca8
300,200,202.3,0,0,0,35,35,0,966,0,438,631,0.9335,-0.1335,360.5,0,0,0,0,0,10,3,worst,120,ef87ca8
300,240,242.3,23,0,0,42,65,0,986,0,447,660,0.991,-0.191,360.5,0,0,0,0,0,10,3,worst,120,ef87ca8
400,0,22.3,2047,0,516,502,3065,0,3078,317,1107,928,4.1535,-3.3535,470.5,0,0,0,0,0,10,3,worst,120,ef87ca8
600,0,22.3,4565,1713,3864,1054,11196,0,4876,1716,3865,1054,2.591102745734252e+21,-2.591102745734252e+21,660.5,0,0,0,0,0,10,3,worst,120,ef87ca8
800,0,22.3,3944,1405,3556,1054,9959,0,4725,1653,3792,1054,1278826.2699,-1278825.4699,870.5,0,0,0,0,0,10,3,worst,120,ef87ca8
