scheduler,profile,vehicles,cores,exec,overrun,net_delay_ms,seed,vehicle,sample,t_s,ref_step,from_ref_step,zone,zone_name,vel,ff_ref_0,ff_ref_1,act_out,phys_0_yaw_rate,phys_1_slip,phys_2_steer,phys_3_steer_rate,phys_4_e_y,phys_5_e_y_dot,abs_e_y,ttv_ms,ttpnr_ms,ttv_horizon_ms,ttv_censored
rm,v10,1,1,best,kill,-1.00,0,0,0,0.000000,0,1,z0,straight,10,0,0,0,0,0,0,0,0.1000000015,0,0.1000000015,5000.000,5000.000,5000.000,1
rm,v10,1,1,best,kill,-1.00,0,0,1,0.010000,100,101,z0,straight,10,0,0,0,0,0,0,0,0.1000000015,0,0.1000000015,5000.000,5000.000,5000.000,1
rm,v10,1,1,best,kill,-1.00,0,0,2,0.020000,200,201,z0,straight,10,0,0,0,0,0,0,0,0.1000000015,0,0.1000000015,5000.000,5000.000,5000.000,1
rm,v10,1,1,best,kill,-1.00,0,0,3,0.030000,300,301,z0,straight,10,0,0,0,0,0,0,0,0.1000000015,0,0.1000000015,5000.000,5000.000,5000.000,1
rm,v10,1,1,best,kill,-1.00,0,0,4,0.040000,400,401,z0,straight,10,0,0,0.023006458,2.146131374e-05,6.140175174e-06,0.00025219706,0.0484614186,0.1000000015,-5.402475267e-07,0.1000000015,1723.600,1480.000,5000.000,0
rm,v10,1,1,best,kill,-1.00,0,0,5,0.050000,500,501,z0,straight,10,0,0,0.023006458,0.0001600747491,4.39619289e-05,0.0009237100021,0.08380826563,0.09999996424,-8.24149447e-06,0.09999996424,1713.600,1470.000,5000.000,0
rm,v10,1,1,best,kill,-1.00,0,0,6,0.060000,600,601,z0,straight,10,0,0,0.023006458,0.000498634181,0.0001315591508,0.001892066444,0.108250238,0.09999975562,-3.925516285e-05,0.09999975562,1703.600,1460.000,5000.000,0
rm,v10,1,1,best,kill,-1.00,0,0,7,0.070000,700,701,z0,straight,10,0,0,0.023069806,0.001088255551,0.0002760615025,0.003060749732,0.1242142543,0.09999902546,-0.0001163640045,0.09999902546,1691.600,1450.000,5000.000,0
rm,v10,1,1,best,kill,-1.00,0,0,8,0.080000,800,801,z0,straight,10,0,0,0.023069806,0.001955445157,0.0004773141991,0.004353843164,0.1334158033,0.09999718517,-0.0002661796461,0.09999718517,1681.600,1440.000,5000.000,0
rm,v10,1,1,best,kill,-1.00,0,0,9,0.090000,900,901,z0,straight,10,0,0,0.023069806,0.003107665339,0.0007304920582,0.005711715668,0.137402758,0.09999337047,-0.0005169697688,0.09999337047,1671.600,1430.000,5000.000,0
rm,v10,1,1,best,kill,-1.00,0,0,10,0.100000,1000,1001,z0,straight,10,0,0,0.025840297,0.004540686961,0.001028781524,0.007119115442,0.1432716399,0.09998641908,-0.0008970630006,0.09998641908,1585.000,1340.000,5000.000,0
rm,v10,1,1,best,kill,-1.00,0,0,11,0.110000,1100,1101,z0,straight,10,0,0,0.025840297,0.006248919759,0.001366377575,0.008561908267,0.1446268409,0.09997490048,-0.001434293925,0.09997490048,1575.000,1330.000,5000.000,0
rm,v10,1,1,best,kill,-1.00,0,0,12,0.120000,1200,1201,z0,straight,10,0,0,0.025840297,0.008218147792,0.001736220787,0.01000024844,0.1425534189,0.09995711595,-0.002155555878,0.09995711595,1565.000,1320.000,5000.000,0
rm,v10,1,1,best,kill,-1.00,0,0,13,0.130000,1300,1301,z0,straight,10,0,0,0.027205165,0.01042711921,0.002130584558,0.01141962595,0.140855208,0.09993109107,-0.003085910575,0.09993109107,1522.900,1275.000,5000.000,0
rm,v10,1,1,best,kill,-1.00,0,0,14,0.140000,1400,1401,z0,straight,10,0,0,0.027205165,0.01285355445,0.002542710863,0.01280881092,0.1366215646,0.09989462793,-0.004248234443,0.09989462793,1512.900,1265.000,5000.000,0
rm,v10,1,1,best,kill,-1.00,0,0,15,0.150000,1500,1501,z0,straight,10,0,0,0.027205165,0.01547125261,0.002965776017,0.01414602157,0.1305718422,0.09984529018,-0.005663000513,0.09984529018,1502.900,1255.000,5000.000,0
rm,v10,1,1,best,kill,-1.00,0,0,16,0.160000,1600,1601,z0,straight,10,0,0,0.028270189,0.01825175248,0.003393311985,0.0154278744,0.1255467981,0.09978046268,-0.007347905543,0.09978046268,1470.500,1220.000,5000.000,0
rm,v10,1,1,best,kill,-1.00,0,0,17,0.170000,1700,1701,z0,straight,10,0,0,0.028270189,0.02116854675,0.003820225596,0.01665236428,0.1191651821,0.09969738126,-0.009317896329,0.09969738126,1460.500,1210.000,5000.000,0
rm,v10,1,1,best,kill,-1.00,0,0,18,0.180000,1800,1801,z0,straight,10,0,0,0.028270189,0.02419440076,0.004241799004,0.01780822314,0.1118933409,0.09959311783,-0.0115852505,0.09959311783,1450.500,1200.000,5000.000,0
rm,v10,1,1,best,kill,-1.00,0,0,19,0.190000,1900,1901,z0,straight,10,0,0,0.027787711,0.02730105072,0.004653514363,0.01888326555,0.1030994952,0.09946464747,-0.01415947266,0.09946464747,1450.000,1200.000,5000.000,0
rm,v10,1,1,best,kill,-1.00,0,0,20,0.200000,2000,2001,z0,straight,10,0,0,0.027787711,0.03045914695,0.005050985608,0.0198704768,0.0943710506,0.09930887818,-0.01704717427,0.09930887818,1440.000,1190.000,5000.000,0
rm,v10,1,1,best,kill,-1.00,0,0,21,0.210000,2100,2101,z0,straight,10,0,0,0.027787711,0.03364084661,0.005430622492,0.02077150159,0.08588578552,0.09912265092,-0.02025208622,0.09912265092,1430.000,1180.000,5000.000,0
rm,v10,1,1,best,kill,-1.00,0,0,22,0.220000,2200,2201,z0,straight,10,0,0,0.024951756,0.03681811318,0.005788984708,0.0215583127,0.07178787142,0.09890277684,-0.02377521433,0.09890277684,1478.100,1230.000,5000.000,0
rm,v10,1,1,best,kill,-1.00,0,0,23,0.230000,2300,2301,z0,straight,10,0,0,0.024951756,0.03995641693,0.006121055223,0.02221434377,0.05974741653,0.09864608943,-0.02761440165,0.09864608943,1468.100,1220.000,5000.000,0
rm,v10,1,1,best,kill,-1.00,0,0,24,0.240000,2400,2401,z0,straight,10,0,0,0.024951756,0.0430255495,0.006423450075,0.02275937237,0.04954185337,0.09834945202,-0.03176418319,0.09834945202,1458.100,1210.000,5000.000,0
rm,v10,1,1,best,kill,-1.00,0,0,25,0.250000,2500,2501,z0,straight,10,0,0,0.022710757,0.0459998697,0.006694153417,0.0231858734,0.03619448468,0.0980098024,-0.03621636331,0.0980098024,1498.100,1255.000,5000.000,0
rm,v10,1,1,best,kill,-1.00,0,0,26,0.260000,2600,2601,z0,straight,10,0,0,0.022710757,0.048852209,0.006930673495,0.02349220961,0.02547956258,0.0976241529,-0.04096008092,0.0976241529,1488.100,1245.000,5000.000,0
rm,v10,1,1,best,kill,-1.00,0,0,27,0.270000,2700,2701,z0,straight,10,0,0,0.022710757,0.0515615195,0.007132234052,0.02370286547,0.01698702574,0.09718967229,-0.04598202929,0.09718967229,1478.100,1235.000,5000.000,0
rm,v10,1,1,best,kill,-1.00,0,0,28,0.280000,2800,2801,z0,straight,10,0,0,0.016815849,0.05410844833,0.007298216689,0.02377342246,-0.002092975425,0.09670364112,-0.05126701295,0.09670364112,1630.000,1400.000,5000.000,0
rm,v10,1,1,best,kill,-1.00,0,0,29,0.290000,2900,2901,z0,straight,10,0,0,0.016815849,0.05646046624,0.007424159907,0.02367766015,-0.01631321013,0.09616351128,-0.05679720268,0.09616351128,1620.000,1390.000,5000.000,0
rm,v10,1,1,best,kill,-1.00,0,0,30,0.300000,3000,3001,z0,straight,10,0,0,0.016815849,0.05859302357,0.00750819128,0.02346052788,-0.02651684918,0.09556694329,-0.06255177408,0.09556694329,1610.000,1380.000,5000.000,0
rm,v10,1,1,best,kill,-1.00,0,0,31,0.310000,3100,3101,z0,straight,10,0,0,0.013443333,0.06049025431,0.007550704293,0.02312099561,-0.04062704369,0.09491180629,-0.06850797683,0.09491180629,1723.700,1500.000,5000.000,0
rm,v10,1,1,best,kill,-1.00,0,0,32,0.320000,3200,3201,z0,straight,10,0,0,0.013443333,0.06213460863,0.007551246788,0.02266305126,-0.0502932556,0.09419619292,-0.07464138418,0.09419619292,1713.700,1490.000,5000.000,0
rm,v10,1,1,best,kill,-1.00,0,0,33,0.330000,3300,3301,z0,straight,10,0,0,0.013443333,0.06351745874,0.007511605974,0.02212699503,-0.05639456958,0.09341847152,-0.08092617244,0.09341847152,1703.700,1480.000,5000.000,0
rm,v10,1,1,best,kill,-1.00,0,0,34,0.340000,3400,3401,z0,straight,10,0,0,0.0060756528,0.06463314593,0.007433748804,0.02146362886,-0.07524044067,0.09257725626,-0.08733601868,0.09257725626,2154.400,1960.000,5000.000,0
rm,v10,1,1,best,kill,-1.00,0,0,35,0.350000,3500,3501,z0,straight,10,0,0,0.0060756528,0.06545958668,0.007314618677,0.02064384893,-0.08775673062,0.09167142957,-0.09384313971,0.09167142957,2144.400,1950.000,5000.000,0
rm,v10,1,1,best,kill,-1.00,0,0,36,0.360000,3600,3601,z0,straight,10,0,0,0.0060756528,0.0659841001,0.007154054008,0.0197254587,-0.09517515451,0.09070016444,-0.1004178599,0.09070016444,2134.400,1940.000,5000.000,0
rm,v10,1,1,best,kill,-1.00,0,0,37,0.370000,3700,3701,z0,straight,10,0,0,0.002448749,0.06620438397,0.006954480894,0.01871369779,-0.1062930003,0.08966294676,-0.1070298404,0.08966294676,2649.600,2475.000,5000.000,0
rm,v10,1,1,best,kill,-1.00,0,0,38,0.380000,3800,3801,z0,straight,10,0,0,0.002448749,0.06611663848,0.006717352197,0.01761674695,-0.1123457104,0.08855954558,-0.1136484519,0.08855954558,2639.600,2465.000,5000.000,0
rm,v10,1,1,best,kill,-1.00,0,0,39,0.390000,3900,3901,z0,straight,10,0,0,0.002448749,0.06572633982,0.006446321495,0.01647993736,-0.1144448966,0.08739005774,-0.1202430725,0.08739005774,2629.600,2455.000,5000.000,0
rm,v10,1,1,best,kill,-1.00,0,0,40,0.400000,4000,4001,z0,straight,10,0,0,-0.00454028,0.06504236907,0.006145208608,0.01526114158,-0.1282878965,0.08615486324,-0.1267839819,0.08615486324,5000.000,5000.000,5000.000,1
rm,v10,1,1,best,kill,-1.00,0,0,41,0.410000,4100,4101,z0,straight,10,0,0,-0.00454028,0.0640579313,0.005812903866,0.01393529307,-0.1359559745,0.08485465497,-0.1332415044,0.08485465497,5000.000,5000.000,5000.000,1
rm,v10,1,1,best,kill,-1.00,0,0,42,0.420000,4200,4201,z0,straight,10,0,0,-0.00454028,0.0627746582,0.005450789351,0.01255823486,-0.1387510747,0.08349041641,-0.1395855844,0.08349041641,5000.000,5000.000,5000.000,1
rm,v10,1,1,best,kill,-1.00,0,0,43,0.430000,4300,4301,z0,straight,10,0,0,-0.0075472821,0.06120359525,0.005062523298,0.01113953348,-0.1442051232,0.08206342161,-0.1457868665,0.08206342161,3755.200,3555.000,5000.000,0
