bz=0 fz=0 | z0=0 z1=0 z2=0 z3=0 | maxEy 0.3381 | path 90.50
bz=0 fz=150 | z0=0 z1=0 z2=0 z3=0 | maxEy 0.5712 | path 90.50
bz=0 fz=200 | z0=0 z1=0 z2=0 z3=0 | maxEy 0.6805 | path 90.50
bz=0 fz=240 | z0=0 z1=0 z2=0 z3=0 | maxEy 0.7265 | path 90.50
bz=100 fz=0 | z0=0 z1=0 z2=0 z3=0 | maxEy 0.3349 | path 170.50
bz=100 fz=150 | z0=0 z1=0 z2=0 z3=0 | maxEy 0.5875 | path 170.50
bz=100 fz=200 | z0=0 z1=0 z2=0 z3=0 | maxEy 0.7065 | path 170.50
bz=100 fz=240 | z0=0 z1=0 z2=0 z3=0 | maxEy 0.7624 | path 170.50
bz=200 fz=0 | z0=0 z1=0 z2=0 z3=0 | maxEy 0.5304 | path 270.50
bz=200 fz=150 | z0=0 z1=0 z2=0 z3=0 | maxEy 0.6160 | path 270.50
bz=200 fz=200 | z0=0 z1=0 z2=0 z3=0 | maxEy 0.7659 | path 270.50
bz=200 fz=240 | z0=0 z1=0 z2=0 z3=18 | maxEy 0.8235 | path 270.50
bz=300 fz=0 | z0=0 z1=0 z2=0 z3=0 | maxEy 0.6052 | path 360.50
bz=300 fz=150 | z0=0 z1=0 z2=0 z3=0 | maxEy 0.7538 | path 360.50
bz=300 fz=200 | z0=0 z1=0 z2=0 z3=35 | maxEy 0.9335 | path 360.50
bz=300 fz=240 | z0=23 z1=0 z2=0 z3=42 | maxEy 0.9910 | path 360.50
bz=400 fz=0 | z0=2047 z1=0 z2=516 z3=502 | maxEy 4.1535 | path 470.50
bz=600 fz=0 | z0=4565 z1=1713 z2=3864 z3=1054 | maxEy 2591102745734251806720.0000 | path 660.50
bz=800 fz=0 | z0=3944 z1=1405 z2=3556 z3=1054 | maxEy 1278826.2699 | path 870.50
