channel,zone,zone_name,hold_ms_commanded,lead_frac,lead_ms,delivered_max_ms,dose_status,age_path_ms,fleet_max_ey_m,target_zone_max_ey_m,total_hard,z0_hard,z1_hard,z2_hard,z3_hard,missed_E,missed_B,missed_F,missed_M,scheduler,profile,vehicles,cores,exec,duration_s,decimation_ms,git_sha
f,3,lane-change,200.0,0.0,0.0,202.3,ok,90.5,0.6805,0.6805,0,0,0,0,0,0,0,0,0,rm,10,1,3,worst,120,10,ef87ca8
f,3,lane-change,200.0,0.25,50.0,202.3,ok,90.5,0.686,0.686,0,0,0,0,0,0,0,0,0,rm,10,1,3,worst,120,10,ef87ca8
f,3,lane-change,200.0,0.5,100.0,202.3,ok,90.5,0.682,0.682,0,0,0,0,0,0,0,0,0,rm,10,1,3,worst,120,10,ef87ca8
f,3,lane-change,200.0,0.75,150.0,202.3,ok,90.5,0.6764,0.6764,0,0,0,0,0,0,0,0,0,rm,10,1,3,worst,120,10,ef87ca8
f,3,lane-change,220.0,0.0,0.0,222.3,ok,90.5,0.7144,0.7144,0,0,0,0,0,0,0,0,0,rm,10,1,3,worst,120,10,ef87ca8
f,3,lane-change,220.0,0.25,55.0,222.3,ok,90.5,0.7188,0.7188,0,0,0,0,0,0,0,0,0,rm,10,1,3,worst,120,10,ef87ca8
f,3,lane-change,220.0,0.5,110.0,222.3,ok,90.5,0.7265,0.7265,0,0,0,0,0,0,0,0,0,rm,10,1,3,worst,120,10,ef87ca8
f,3,lane-change,220.0,0.75,165.0,222.3,ok,90.5,0.7151,0.7151,0,0,0,0,0,0,0,0,0,rm,10,1,3,worst,120,10,ef87ca8
f,3,lane-change,240.0,0.0,0.0,242.3,ok,90.5,0.7265,0.7265,0,0,0,0,0,0,0,0,0,rm,10,1,3,worst,120,10,ef87ca8
f,3,lane-change,240.0,0.25,60.0,242.3,ok,90.5,0.7366,0.7366,0,0,0,0,0,0,0,0,0,rm,10,1,3,worst,120,10,ef87ca8
f,3,lane-change,240.0,0.5,120.0,242.3,ok,90.5,0.7322,0.7322,0,0,0,0,0,0,0,0,0,rm,10,1,3,worst,120,10,ef87ca8
f,3,lane-change,240.0,0.75,180.0,242.3,ok,90.5,0.727,0.727,0,0,0,0,0,0,0,0,0,rm,10,1,3,worst,120,10,ef87ca8
f,3,lane-change,260.0,0.0,0.0,262.3,ok,90.5,0.8077,0.8077,10,0,0,0,10,0,0,0,0,rm,10,1,3,worst,120,10,ef87ca8
f,3,lane-change,260.0,0.25,65.0,262.3,ok,90.5,0.7955,0.7955,0,0,0,0,0,0,0,0,0,rm,10,1,3,worst,120,10,ef87ca8
f,3,lane-change,260.0,0.5,130.0,262.3,ok,90.5,0.7882,0.7882,0,0,0,0,0,0,0,0,0,rm,10,1,3,worst,120,10,ef87ca8
f,3,lane-change,260.0,0.75,195.0,262.3,ok,90.5,0.7885,0.7885,0,0,0,0,0,0,0,0,0,rm,10,1,3,worst,120,10,ef87ca8
f,3,lane-change,280.0,0.0,0.0,282.3,ok,90.5,0.8208,0.8208,19,0,0,0,19,0,0,0,0,rm,10,1,3,worst,120,10,ef87ca8
f,3,lane-change,280.0,0.25,70.0,282.3,ok,90.5,0.8218,0.8218,19,0,0,0,19,0,0,0,0,rm,10,1,3,worst,120,10,ef87ca8
f,3,lane-change,280.0,0.5,140.0,282.3,ok,90.5,0.8468,0.8468,26,0,0,0,26,0,0,0,0,rm,10,1,3,worst,120,10,ef87ca8
f,3,lane-change,280.0,0.75,210.0,282.3,ok,90.5,0.8492,0.8492,27,0,0,0,27,0,0,0,0,rm,10,1,3,worst,120,10,ef87ca8
f,3,lane-change,300.0,0.0,0.0,302.3,ok,90.5,0.841,0.841,24,0,0,0,24,0,0,0,0,rm,10,1,3,worst,120,10,ef87ca8
f,3,lane-change,300.0,0.25,75.0,302.3,ok,90.5,0.8505,0.8505,28,0,0,0,28,0,0,0,0,rm,10,1,3,worst,120,10,ef87ca8
f,3,lane-change,300.0,0.5,150.0,302.3,ok,90.5,0.8926,0.8926,37,0,0,0,37,0,0,0,0,rm,10,1,3,worst,120,10,ef87ca8
f,3,lane-change,300.0,0.75,225.0,302.3,ok,90.5,0.8758,0.8758,34,0,0,0,34,0,0,0,0,rm,10,1,3,worst,120,10,ef87ca8
