channel,zone,zone_name,hold_ms_commanded,delivered_max_ms,dose_status,age_path_ms,fleet_max_ey_m,target_zone_max_ey_m,total_hard,z0_hard,z1_hard,z2_hard,z3_hard,missed_E,missed_B,missed_F,missed_M,scheduler,profile,vehicles,cores,exec,duration_s,decimation_ms,git_sha
f,0,straight,100.0,102.3,ok,90.5,0.3381,0.2867,0,0,0,0,0,0,0,0,0,rm,10,1,3,worst,120,10,188c255
f,0,straight,200.0,202.3,ok,90.5,0.3381,0.2867,0,0,0,0,0,0,0,0,0,rm,10,1,3,worst,120,10,188c255
f,0,straight,220.0,222.3,ok,90.5,0.3381,0.2867,0,0,0,0,0,0,0,0,0,rm,10,1,3,worst,120,10,188c255
f,0,straight,240.0,242.3,ok,90.5,0.3381,0.2867,0,0,0,0,0,0,0,0,0,rm,10,1,3,worst,120,10,188c255
f,0,straight,260.0,262.3,ok,90.5,0.3381,0.2867,0,0,0,0,0,0,0,0,0,rm,10,1,3,worst,120,10,188c255
f,0,straight,280.0,282.3,ok,90.5,0.3381,0.2867,0,0,0,0,0,0,0,0,0,rm,10,1,3,worst,120,10,188c255
f,0,straight,300.0,302.3,ok,90.5,0.3381,0.2867,0,0,0,0,0,0,0,0,0,rm,10,1,3,worst,120,10,188c255
f,0,straight,500.0,502.3,ok,90.5,0.3381,0.2867,0,0,0,0,0,0,0,0,0,rm,10,1,3,worst,120,10,188c255
f,0,straight,800.0,802.3,ok,90.5,0.3381,0.2867,0,0,0,0,0,0,0,0,0,rm,10,1,3,worst,120,10,188c255
f,0,straight,900.0,902.3,ok,90.5,0.3382,0.2867,0,0,0,0,0,0,0,0,0,rm,10,1,3,worst,120,10,188c255
f,0,straight,1000.0,1002.3,ok,90.5,0.3382,0.2867,0,0,0,0,0,0,0,0,0,rm,10,1,3,worst,120,10,188c255
f,0,straight,1100.0,1102.3,ok,90.5,0.3382,0.2867,0,0,0,0,0,0,0,0,0,rm,10,1,3,worst,120,10,188c255
f,0,straight,1200.0,1202.3,ok,90.5,0.3382,0.2867,0,0,0,0,0,0,0,0,0,rm,10,1,3,worst,120,10,188c255
f,1,slight-turn,100.0,102.3,ok,90.5,0.338,0.0943,0,0,0,0,0,0,0,0,0,rm,10,1,3,worst,120,10,188c255
f,1,slight-turn,200.0,202.3,ok,90.5,0.3378,0.1167,0,0,0,0,0,0,0,0,0,rm,10,1,3,worst,120,10,188c255
f,1,slight-turn,220.0,222.3,ok,90.5,0.3378,0.1243,0,0,0,0,0,0,0,0,0,rm,10,1,3,worst,120,10,188c255
f,1,slight-turn,240.0,242.3,ok,90.5,0.3378,0.1333,0,0,0,0,0,0,0,0,0,rm,10,1,3,worst,120,10,188c255
f,1,slight-turn,260.0,262.3,ok,90.5,0.3378,0.1513,0,0,0,0,0,0,0,0,0,rm,10,1,3,worst,120,10,188c255
f,1,slight-turn,280.0,282.3,ok,90.5,0.3377,0.1525,0,0,0,0,0,0,0,0,0,rm,10,1,3,worst,120,10,188c255
f,1,slight-turn,300.0,302.3,ok,90.5,0.3378,0.1655,0,0,0,0,0,0,0,0,0,rm,10,1,3,worst,120,10,188c255
f,1,slight-turn,500.0,502.3,ok,90.5,0.3376,0.3059,0,0,0,0,0,0,0,0,0,rm,10,1,3,worst,120,10,188c255
f,1,slight-turn,800.0,802.3,ok,90.5,0.4227,0.4227,0,0,0,0,0,0,0,0,0,rm,10,1,3,worst,120,10,188c255
f,1,slight-turn,900.0,902.3,ok,90.5,0.5014,0.5014,0,0,0,0,0,0,0,0,0,rm,10,1,3,worst,120,10,188c255
f,1,slight-turn,1000.0,1002.3,ok,90.5,0.6049,0.6049,0,0,0,0,0,0,0,0,0,rm,10,1,3,worst,120,10,188c255
f,1,slight-turn,1100.0,1102.3,ok,90.5,0.6185,0.6185,0,0,0,0,0,0,0,0,0,rm,10,1,3,worst,120,10,188c255
f,1,slight-turn,1200.0,1202.3,ok,90.5,0.6238,0.6238,0,0,0,0,0,0,0,0,0,rm,10,1,3,worst,120,10,188c255
f,2,sharp-turn,100.0,102.3,ok,90.5,0.3381,0.129,0,0,0,0,0,0,0,0,0,rm,10,1,3,worst,120,10,188c255
