plant,pred_staleness_ms,pred_margin_ms,scheduler,profile,vehicles,cores,exec,overrun,net_delay_ms,seed,duration_s,missed_jobs,veh,avg_perf,max_roll,soft_pct,hard,max_age_fresh_ms,max_age_path_ms,min_ttpnr_ms,past_pnr_ms,tau_crit_ms,max_sim_crit,sim_crit_over_cores_pct
lateral,0,0,aguard-honest,v10,18,3,worst,kill,-1.00,0,30.000,57116,0,4.016916,13.751087,61.4000,35,2605.50,2625.50,0.00,540.0,100,4,0.75
lateral,0,0,aguard-honest,v10,18,3,worst,kill,-1.00,0,30.000,57116,1,4.000531,16.031081,57.2333,51,2160.50,2160.50,0.00,775.0,100,4,0.75
lateral,0,0,aguard-honest,v10,18,3,worst,kill,-1.00,0,30.000,57116,2,5.181796,17.318955,61.7000,113,4720.50,4740.50,0.00,1945.0,100,4,0.75
lateral,0,0,aguard-honest,v10,18,3,worst,kill,-1.00,0,30.000,57116,3,3.340912,10.692728,60.4667,0,5830.50,5830.50,0.00,565.0,100,4,0.75
lateral,0,0,aguard-honest,v10,18,3,worst,kill,-1.00,0,30.000,57116,4,4.281368,16.219180,57.9333,43,1560.50,1570.50,0.00,1295.0,100,4,0.75
lateral,0,0,aguard-honest,v10,18,3,worst,kill,-1.00,0,30.000,57116,5,4.527511,16.241515,60.7000,87,1300.50,1305.50,0.00,1420.0,100,4,0.75
lateral,0,0,aguard-honest,v10,18,3,worst,kill,-1.00,0,30.000,57116,6,4.555679,19.096736,62.7667,69,3450.50,3470.50,0.00,1070.0,100,4,0.75
lateral,0,0,aguard-honest,v10,18,3,worst,kill,-1.00,0,30.000,57116,7,5.461368,19.684011,64.9667,131,6180.50,6200.50,0.00,2070.0,100,4,0.75
lateral,0,0,aguard-honest,v10,18,3,worst,kill,-1.00,0,30.000,57116,8,4.722754,17.505482,58.0000,65,1640.50,1685.50,0.00,1045.0,100,4,0.75
lateral,0,0,aguard-honest,v10,18,3,worst,kill,-1.00,0,30.000,57116,9,3.986444,10.704151,60.5667,0,2990.50,3010.50,180.10,0.0,100,4,0.75
lateral,0,0,aguard-honest,v10,18,3,worst,kill,-1.00,0,30.000,57116,10,4.898792,14.929919,64.5667,66,1665.50,1680.50,0.00,1300.0,100,4,0.75
lateral,0,0,aguard-honest,v10,18,3,worst,kill,-1.00,0,30.000,57116,11,4.264760,13.673920,62.8000,43,1760.50,1780.50,0.00,1230.0,100,4,0.75
lateral,0,0,aguard-honest,v10,18,3,worst,kill,-1.00,0,30.000,57116,12,4.051174,13.057198,63.6000,45,1705.50,1720.50,0.00,980.0,100,4,0.75
lateral,0,0,aguard-honest,v10,18,3,worst,kill,-1.00,0,30.000,57116,13,4.082229,15.774696,61.7667,50,1780.50,1800.50,0.00,730.0,100,4,0.75
lateral,0,0,aguard-honest,v10,18,3,worst,kill,-1.00,0,30.000,57116,14,3.920513,15.987605,55.0000,40,2600.50,2620.50,0.00,625.0,100,4,0.75
lateral,0,0,aguard-honest,v10,18,3,worst,kill,-1.00,0,30.000,57116,15,5.505656,18.752379,65.4000,107,1700.50,1710.50,0.00,1605.0,100,4,0.75
lateral,0,0,aguard-honest,v10,18,3,worst,kill,-1.00,0,30.000,57116,16,5.104158,20.702380,65.5333,79,2110.50,2130.50,0.00,1120.0,100,4,0.75
lateral,0,0,aguard-honest,v10,18,3,worst,kill,-1.00,0,30.000,57116,17,5.151418,15.422422,66.3000,50,3610.50,3630.50,0.00,735.0,100,4,0.75
lateral,16,0,aguard-honest,v10,18,3,worst,kill,-1.00,0,30.000,57094,0,4.297484,16.029398,62.7000,45,1605.50,1625.50,0.00,675.0,100,4,1.08
lateral,16,0,aguard-honest,v10,18,3,worst,kill,-1.00,0,30.000,57094,1,3.612056,13.025352,56.5000,53,2285.50,2305.50,0.00,820.0,100,4,1.08
lateral,16,0,aguard-honest,v10,18,3,worst,kill,-1.00,0,30.000,57094,2,4.520591,16.148405,60.4000,57,1730.50,1750.50,0.00,910.0,100,4,1.08
lateral,16,0,aguard-honest,v10,18,3,worst,kill,-1.00,0,30.000,57094,3,4.482552,15.127678,65.2667,56,2745.50,2770.50,0.00,1140.0,100,4,1.08
lateral,16,0,aguard-honest,v10,18,3,worst,kill,-1.00,0,30.000,57094,4,3.119635,9.315105,54.6000,0,2205.50,2220.50,0.00,250.0,100,4,1.08
lateral,16,0,aguard-honest,v10,18,3,worst,kill,-1.00,0,30.000,57094,5,4.974133,15.390665,64.2667,109,1220.50,1230.50,0.00,1920.0,100,4,1.08
lateral,16,0,aguard-honest,v10,18,3,worst,kill,-1.00,0,30.000,57094,6,2.646067,6.482203,54.5667,0,2815.50,2835.50,270.10,0.0,100,4,1.08
lateral,16,0,aguard-honest,v10,18,3,worst,kill,-1.00,0,30.000,57094,7,5.240916,15.708658,65.6333,120,3110.50,3130.50,0.00,1910.0,100,4,1.08
lateral,16,0,aguard-honest,v10,18,3,worst,kill,-1.00,0,30.000,57094,8,4.825629,20.589876,60.0667,90,3215.50,3245.50,0.00,1550.0,100,4,1.08
lateral,16,0,aguard-honest,v10,18,3,worst,kill,-1.00,0,30.000,57094,9,5.045733,12.731441,62.3000,0,1290.50,1290.50,70.10,0.0,100,4,1.08
lateral,16,0,aguard-honest,v10,18,3,worst,kill,-1.00,0,30.000,57094,10,3.655760,9.668487,62.3000,0,905.50,905.50,125.10,0.0,100,4,1.08
lateral,16,0,aguard-honest,v10,18,3,worst,kill,-1.00,0,30.000,57094,11,3.770801,13.135229,59.7667,44,1925.50,1925.50,0.00,660.0,100,4,1.08
lateral,16,0,aguard-honest,v10,18,3,worst,kill,-1.00,0,30.000,57094,12,4.194725,14.360100,66.7000,27,2225.50,2245.50,0.00,485.0,100,4,1.08
lateral,16,0,aguard-honest,v10,18,3,worst,kill,-1.00,0,30.000,57094,13,4.282469,14.897371,64.1000,38,3580.50,3610.50,0.00,660.0,100,4,1.08
lateral,16,0,aguard-honest,v10,18,3,worst,kill,-1.00,0,30.000,57094,14,4.392093,15.986391,61.5333,57,3550.50,3575.50,0.00,855.0,100,4,1.08
lateral,16,0,aguard-honest,v10,18,3,worst,kill,-1.00,0,30.000,57094,15,4.226867,15.096058,63.2667,47,1010.50,1020.50,0.00,710.0,100,4,1.08
lateral,16,0,aguard-honest,v10,18,3,worst,kill,-1.00,0,30.000,57094,16,3.905786,14.372311,60.4333,49,2735.50,2755.50,0.00,760.0,100,4,1.08
lateral,16,0,aguard-honest,v10,18,3,worst,kill,-1.00,0,30.000,57094,17,5.386540,17.898078,63.5000,125,1840.50,1865.50,0.00,1905.0,100,4,1.08
lateral,100,0,aguard-honest,v10,18,3,worst,kill,-1.00,0,30.000,57105,0,5.838234,20.120454,65.4333,146,1865.50,1865.50,0.00,2395.0,100,14,17.33
lateral,100,0,aguard-honest,v10,18,3,worst,kill,-1.00,0,30.000,57105,1,6.153278,47.307578,57.7000,91,1880.50,1880.50,0.00,1470.0,100,14,17.33
lateral,100,0,aguard-honest,v10,18,3,worst,kill,-1.00,0,30.000,57105,2,6.790428,18.296690,68.3000,177,2255.50,2275.50,0.00,3105.0,100,14,17.33
lateral,100,0,aguard-honest,v10,18,3,worst,kill,-1.00,0,30.000,57105,3,7.676201,27.536970,69.8667,278,2070.50,2110.50,0.00,4615.0,100,14,17.33
lateral,100,0,aguard-honest,v10,18,3,worst,kill,-1.00,0,30.000,57105,4,6.129964,29.000892,59.7667,98,1600.50,1625.50,0.00,2565.0,100,14,17.33
lateral,100,0,aguard-honest,v10,18,3,worst,kill,-1.00,0,30.000,57105,5,6.556709,18.341821,66.0667,140,1550.50,1550.50,0.00,2350.0,100,14,17.33
lateral,100,0,aguard-honest,v10,18,3,worst,kill,-1.00,0,30.000,57105,6,7.036184,38.290417,67.1667,226,2415.50,2445.50,0.00,3130.0,100,14,17.33
lateral,100,0,aguard-honest,v10,18,3,worst,kill,-1.00,0,30.000,57105,7,7.904369,59.728721,69.8333,200,3575.50,3595.50,0.00,3045.0,100,14,17.33
lateral,100,0,aguard-honest,v10,18,3,worst,kill,-1.00,0,30.000,57105,8,6.735827,23.087645,63.7333,192,2120.50,2140.50,0.00,3410.0,100,14,17.33
lateral,100,0,aguard-honest,v10,18,3,worst,kill,-1.00,0,30.000,57105,9,7.265091,37.847900,59.9333,169,4760.50,4785.50,0.00,2635.0,100,14,17.33
lateral,100,0,aguard-honest,v10,18,3,worst,kill,-1.00,0,30.000,57105,10,8.357273,61.164264,68.5667,213,2545.50,2565.50,0.00,2970.0,100,14,17.33
lateral,100,0,aguard-honest,v10,18,3,worst,kill,-1.00,0,30.000,57105,11,6.067320,19.256993,66.9333,166,1875.50,1915.50,0.00,3225.0,100,14,17.33
lateral,100,0,aguard-honest,v10,18,3,worst,kill,-1.00,0,30.000,57105,12,7.013292,18.337382,75.8000,204,2525.50,2545.50,0.00,3695.0,100,14,17.33
lateral,100,0,aguard-honest,v10,18,3,worst,kill,-1.00,0,30.000,57105,13,6.504822,21.642261,67.1667,152,1750.50,1770.50,0.00,2950.0,100,14,17.33
lateral,100,0,aguard-honest,v10,18,3,worst,kill,-1.00,0,30.000,57105,14,7.124534,21.523567,65.3000,213,3600.50,3620.50,0.00,3365.0,100,14,17.33
lateral,100,0,aguard-honest,v10,18,3,worst,kill,-1.00,0,30.000,57105,15,7.122420,18.076061,73.5333,144,1810.50,1830.50,0.00,2410.0,100,14,17.33
lateral,100,0,aguard-honest,v10,18,3,worst,kill,-1.00,0,30.000,57105,16,7.358897,31.654173,67.4000,215,1540.50,1540.50,0.00,2955.0,100,14,17.33
lateral,100,0,aguard-honest,v10,18,3,worst,kill,-1.00,0,30.000,57105,17,7.228575,29.161183,66.3333,174,1520.50,1540.50,0.00,2750.0,100,14,17.33
lateral,200,0,aguard-honest,v10,18,3,worst,kill,-1.00,0,30.000,57017,0,140.564685,1419.876086,81.4667,1326,1955.50,1955.50,0.00,15710.0,100,18,71.60
lateral,200,0,aguard-honest,v10,18,3,worst,kill,-1.00,0,30.000,57017,1,289.015258,2742.042821,75.9667,1358,2780.50,2800.50,0.00,16295.0,100,18,71.60
lateral,200,0,aguard-honest,v10,18,3,worst,kill,-1.00,0,30.000,57017,2,105.486887,1248.957482,80.2333,1331,1555.50,1570.50,0.00,16175.0,100,18,71.60
lateral,200,0,aguard-honest,v10,18,3,worst,kill,-1.00,0,30.000,57017,3,191.458462,1562.476015,74.9333,1321,1455.50,1470.50,0.00,16240.0,100,18,71.60
lateral,200,0,aguard-honest,v10,18,3,worst,kill,-1.00,0,30.000,57017,4,199.693183,1556.546086,78.7333,1319,1670.50,1670.50,0.00,16155.0,100,18,71.60
lateral,200,0,aguard-honest,v10,18,3,worst,kill,-1.00,0,30.000,57017,5,286.935259,4535.799228,74.8000,1287,1355.50,1370.50,0.00,15810.0,100,18,71.60
lateral,200,0,aguard-honest,v10,18,3,worst,kill,-1.00,0,30.000,57017,6,87.921102,779.711671,77.0000,1223,2195.50,2215.50,0.00,14720.0,100,18,71.60
lateral,200,0,aguard-honest,v10,18,3,worst,kill,-1.00,0,30.000,57017,7,257.791979,2632.260111,71.6333,1336,1865.50,1885.50,0.00,16205.0,100,18,71.60
