zone,min_spacing_ms,scheduler,vehicles,max_occ,geo_predict,zone_len_ticks,max_k_danger,total_hard
3,0,rm,18,18,18,105400,14,22512
3,0,aguard,18,18,18,105400,18,36012
3,250,rm,18,18,18,105400,14,35336
3,250,aguard,18,18,18,105400,7,115
3,500,rm,18,18,18,105400,14,34581
3,500,aguard,18,18,18,105400,7,0
3,750,rm,18,16,15,105400,14,32132
3,750,aguard,18,16,15,105400,6,0
3,1000,rm,18,12,11,105400,13,26003
3,1000,aguard,18,12,11,105400,7,0
3,1500,rm,18,9,8,105400,13,27897
3,1500,aguard,18,9,8,105400,7,0
3,2000,rm,18,7,6,105400,12,26464
3,2000,aguard,18,7,6,105400,7,0
3,3000,rm,18,5,4,105400,13,31931
3,3000,aguard,18,5,4,105400,6,0
3,4000,rm,18,4,3,105400,14,34207
3,4000,aguard,18,4,3,105400,6,0
