zone,min_spacing_ms,scheduler,vehicles,max_occ,geo_predict,zone_len_ticks,max_k_danger,total_hard
3,0,rm,18,18,18,85900,14,25691
3,0,aguard,18,18,18,85900,18,21686
3,250,rm,18,18,18,85900,14,36388
3,250,aguard,18,18,18,85900,8,287
3,500,rm,18,18,18,85900,14,36131
3,500,aguard,18,18,18,85900,7,105
3,750,rm,18,14,12,85900,14,31145
3,750,aguard,18,14,12,85900,7,57
3,1000,rm,18,10,9,85900,14,30073
3,1000,aguard,18,10,9,85900,7,12
3,1500,rm,18,8,6,85900,12,29810
3,1500,aguard,18,8,6,85900,8,213
3,2000,rm,18,5,5,85900,14,33457
3,2000,aguard,18,5,5,85900,7,476
3,3000,rm,18,4,3,85900,14,36257
3,3000,aguard,18,4,3,85900,6,325
3,4000,rm,18,4,3,85900,14,36587
3,4000,aguard,18,4,3,85900,8,215
