zone,min_spacing_ms,scheduler,vehicles,max_occ,geo_predict,zone_len_ticks,max_k_danger,total_hard
3,0,rm,18,18,18,76000,14,27814
3,0,aguard,18,18,18,76000,18,44762
3,250,rm,18,18,18,76000,14,36633
3,250,aguard,18,18,18,76000,18,18420
3,500,rm,18,17,16,76000,13,33389
3,500,aguard,18,17,16,76000,7,133
3,750,rm,18,12,11,76000,13,29581
3,750,aguard,18,12,11,76000,7,60
3,1000,rm,18,9,8,76000,13,31544
3,1000,aguard,18,9,8,76000,9,323
3,1500,rm,18,7,6,76000,13,31169
3,1500,aguard,18,7,6,76000,6,97
3,2000,rm,18,5,4,76000,14,34937
3,2000,aguard,18,5,4,76000,7,142
3,3000,rm,18,4,3,76000,14,37263
3,3000,aguard,18,4,3,76000,7,309
3,4000,rm,18,5,2,76000,14,35825
3,4000,aguard,18,5,2,76000,9,1142
