family,min_spacing_ms,scheduler,pred_margin_ms,vehicles,offset_seed,hard_z0,hard_z1,hard_z2,hard_z3,total_hard,clean,soft_z0,soft_z1,soft_z2,soft_z3,fleet_max_ey_m,ey_margin_m,age_path_ms,missed_E,missed_B,missed_F,missed_M,missed_jobs,profile,cores,exec,duration_s,git_sha
unspaced,0,frontier,100,12,201,0,0,0,0,0,1,1893,0,0,2999,0.3999,0.4001,365.5,27884,822,14151,2088,44945,10,3,worst,120,ef87ca8
unspaced,0,frontier,100,12,202,0,0,0,0,0,1,1947,0,21,3068,0.3996,0.4004,380.5,27886,829,13938,2253,44906,10,3,worst,120,ef87ca8
unspaced,0,frontier,100,12,203,0,0,0,0,0,1,1923,199,121,3085,0.5476,0.2524,380.5,28477,671,13681,2205,45034,10,3,worst,120,ef87ca8
unspaced,0,frontier,100,12,204,0,0,0,0,0,1,2075,194,235,3234,0.6325,0.1675,365.5,28284,734,13559,2197,44774,10,3,worst,120,ef87ca8
unspaced,0,frontier,100,12,205,0,0,0,0,0,1,1846,0,20,2773,0.4012,0.3988,380.5,28122,780,14046,2076,45024,10,3,worst,120,ef87ca8
unspaced,0,frontier,100,12,206,0,0,0,0,0,1,1893,164,0,2976,0.3805,0.4195,360.5,28291,710,13615,2379,44995,10,3,worst,120,ef87ca8
unspaced,0,frontier,100,12,207,0,0,0,0,0,1,1869,43,112,3007,0.413,0.387,380.5,28159,691,13959,2121,44930,10,3,worst,120,ef87ca8
unspaced,0,frontier,100,12,208,0,0,0,0,0,1,1989,175,302,3032,0.7555,0.0445,355.5,28361,723,13723,2190,44997,10,3,worst,120,ef87ca8
unspaced,0,frontier,100,12,209,0,0,0,0,0,1,1930,0,27,2891,0.391,0.409,380.5,28007,890,13699,2471,45067,10,3,worst,120,ef87ca8
unspaced,0,frontier,100,12,210,0,0,0,0,0,1,1938,0,0,2982,0.4007,0.3993,380.5,27374,1143,14374,2368,45259,10,3,worst,120,ef87ca8
unspaced,0,frontier,100,14,201,0,0,0,0,0,1,2531,236,114,3604,0.4784,0.3216,395.5,32842,5783,37708,6880,83213,10,3,worst,120,ef87ca8
unspaced,0,frontier,100,14,202,0,0,0,0,0,1,2493,17,83,3529,0.408,0.392,395.5,32795,5711,37930,6778,83214,10,3,worst,120,ef87ca8
unspaced,0,frontier,100,14,203,0,0,0,0,0,1,2517,211,321,3437,0.5728,0.2272,395.5,33118,5917,37572,7085,83692,10,3,worst,120,ef87ca8
unspaced,0,frontier,100,14,204,0,0,0,0,0,1,2553,209,286,3734,0.6476,0.1524,395.5,32687,6119,37995,7138,83939,10,3,worst,120,ef87ca8
unspaced,0,frontier,100,14,205,0,0,0,0,0,1,2511,29,172,3502,0.4095,0.3905,395.5,32770,5803,37893,6785,83251,10,3,worst,120,ef87ca8
unspaced,0,frontier,100,14,206,0,0,0,0,0,1,2646,284,8,3621,0.5921,0.2079,395.5,32926,6104,37595,7117,83742,10,3,worst,120,ef87ca8
unspaced,0,frontier,100,14,207,0,0,0,0,0,1,2438,38,260,3480,0.4657,0.3343,390.5,32840,5758,37893,6805,83296,10,3,worst,120,ef87ca8
unspaced,0,frontier,100,14,208,0,0,0,0,0,1,2591,192,360,3696,0.7574,0.0426,410.5,32656,5664,37943,6745,83008,10,3,worst,120,ef87ca8
unspaced,0,frontier,100,14,209,0,0,0,0,0,1,2483,163,306,3494,0.4384,0.3616,395.5,32751,5867,37807,6994,83419,10,3,worst,120,ef87ca8
unspaced,0,frontier,100,14,210,0,0,0,0,0,1,2503,23,317,3582,0.496,0.304,395.5,32372,5615,38069,6710,82766,10,3,worst,120,ef87ca8
unspaced,0,frontier,100,16,201,0,0,0,0,0,1,3147,283,288,4351,0.4887,0.3113,415.5,38862,10493,60761,11631,121747,10,3,worst,120,ef87ca8
unspaced,0,frontier,100,16,202,0,0,0,0,0,1,3468,27,119,4285,0.5544,0.2456,415.5,38982,10531,60659,11641,121813,10,3,worst,120,ef87ca8
unspaced,0,frontier,100,16,203,0,0,0,0,0,1,3266,254,428,4287,0.5728,0.2272,410.5,38925,10656,60639,11770,121990,10,3,worst,120,ef87ca8
unspaced,0,frontier,100,16,204,0,0,0,0,0,1,3562,218,314,4101,0.6477,0.1523,415.5,38489,10512,60940,11595,121536,10,3,worst,120,ef87ca8
unspaced,0,frontier,100,16,205,0,0,0,0,0,1,3586,72,134,4379,0.5387,0.2613,415.5,38674,10522,60704,11665,121565,10,3,worst,120,ef87ca8
unspaced,0,frontier,100,16,206,0,0,0,0,0,1,3905,403,180,4640,0.5784,0.2216,415.5,39012,10606,60538,11845,122001,10,3,worst,120,ef87ca8
unspaced,0,frontier,100,16,207,0,0,0,0,0,1,3576,61,610,4529,0.5812,0.2188,410.5,38911,10475,60649,11621,121656,10,3,worst,120,ef87ca8
unspaced,0,frontier,100,16,208,0,0,0,0,0,1,3264,185,338,4370,0.7574,0.0426,415.5,38905,10606,60742,11750,122003,10,3,worst,120,ef87ca8
unspaced,0,frontier,100,16,209,0,0,0,0,0,1,3405,139,341,4381,0.5409,0.2591,410.5,38954,10556,60754,11678,121942,10,3,worst,120,ef87ca8
unspaced,0,frontier,100,16,210,0,0,0,0,0,1,3107,172,754,4339,0.569,0.231,415.5,38610,10404,60813,11583,121410,10,3,worst,120,ef87ca8
unspaced,0,frontier,100,18,201,0,0,0,0,0,1,8472,894,1373,6290,0.7753,0.0247,415.5,51742,15067,80723,16383,163915,10,3,worst,120,ef87ca8
unspaced,0,frontier,100,18,202,0,0,0,0,0,1,9909,279,785,6926,0.7794,0.0206,415.5,50421,14145,81797,15472,161835,10,3,worst,120,ef87ca8
unspaced,0,frontier,100,18,203,0,0,0,40,40,0,10211,862,1448,6754,0.8794,-0.0794,415.5,51021,14522,81566,15810,162919,10,3,worst,120,ef87ca8
unspaced,0,frontier,100,18,204,0,0,0,12,12,0,8951,774,1324,6144,0.8075,-0.0075,900.5,52839,15152,80165,16548,164704,10,3,worst,120,ef87ca8
