profile,zone,zone_name,eps_per_m,total_hard,z0_hard,z1_hard,z2_hard,z3_hard,fleet_max_ey_m,target_zone_max_ey_m,age_path_ms,missed_E,missed_B,missed_F,missed_M,scheduler,vehicles,cores,exec,duration_s,decimation_ms,git_sha
10,-1,baseline,0.0,0,0,0,0,0,0.3381,0.3381,90.5,0,0,0,0,rm,1,3,worst,120,10,ef87ca8
10,0,straight,0.02,0,0,0,0,0,0.3741,0.2999,90.5,0,0,0,0,rm,1,3,worst,120,10,ef87ca8
10,0,straight,-0.02,0,0,0,0,0,0.3413,0.3413,90.5,0,0,0,0,rm,1,3,worst,120,10,ef87ca8
10,0,straight,0.03,0,0,0,0,0,0.3932,0.32,90.5,0,0,0,0,rm,1,3,worst,120,10,ef87ca8
10,0,straight,-0.03,0,0,0,0,0,0.3687,0.3687,90.5,0,0,0,0,rm,1,3,worst,120,10,ef87ca8
10,0,straight,0.04,0,0,0,0,0,0.4127,0.3404,90.5,0,0,0,0,rm,1,3,worst,120,10,ef87ca8
10,0,straight,-0.04,0,0,0,0,0,0.3961,0.3961,90.5,0,0,0,0,rm,1,3,worst,120,10,ef87ca8
10,0,straight,0.05,0,0,0,0,0,0.4324,0.3674,90.5,0,0,0,0,rm,1,3,worst,120,10,ef87ca8
10,0,straight,-0.05,0,0,0,0,0,0.4236,0.4236,90.5,0,0,0,0,rm,1,3,worst,120,10,ef87ca8
10,0,straight,0.06,0,0,0,0,0,0.4524,0.4256,90.5,0,0,0,0,rm,1,3,worst,120,10,ef87ca8
10,0,straight,-0.06,0,0,0,0,0,0.451,0.451,90.5,0,0,0,0,rm,1,3,worst,120,10,ef87ca8
10,0,straight,0.08,0,0,0,0,0,0.5424,0.5424,90.5,0,0,0,0,rm,1,3,worst,120,10,ef87ca8
10,0,straight,-0.08,0,0,0,0,0,0.5298,0.5058,90.5,0,0,0,0,rm,1,3,worst,120,10,ef87ca8
10,0,straight,0.1,0,0,0,0,0,0.6595,0.6595,90.5,0,0,0,0,rm,1,3,worst,120,10,ef87ca8
10,0,straight,-0.1,0,0,0,0,0,0.6561,0.5912,90.5,0,0,0,0,rm,1,3,worst,120,10,ef87ca8
10,0,straight,0.12,0,0,0,0,0,0.7766,0.7766,90.5,0,0,0,0,rm,1,3,worst,120,10,ef87ca8
10,0,straight,-0.12,0,0,0,0,0,0.7825,0.7066,90.5,0,0,0,0,rm,1,3,worst,120,10,ef87ca8
10,0,straight,0.16,133,76,57,0,0,1.011,1.011,90.5,0,0,0,0,rm,1,3,worst,120,10,ef87ca8
