plant,scheduler,profile,vehicles,cores,exec,overrun,net_delay_ms,seed,duration_s,missed_jobs,veh,avg_perf,max_roll,soft_pct,hard,max_age_fresh_ms,max_age_path_ms,min_ttpnr_ms,past_pnr_ms,tau_crit_ms,max_sim_crit,sim_crit_over_cores_pct
lateral,rm,v10,6,3,worst,kill,-1.00,0,30.000,0,0,0.020859,0.185060,0.0000,0,80.50,100.50,-1.00,0.0,100,0,0.00
lateral,rm,v10,6,3,worst,kill,-1.00,0,30.000,0,1,0.068131,0.844841,0.5667,0,80.50,80.50,395.10,0.0,100,0,0.00
lateral,rm,v10,6,3,worst,kill,-1.00,0,30.000,0,2,0.029897,0.374502,0.0000,0,90.50,90.50,-1.00,0.0,100,0,0.00
lateral,rm,v10,6,3,worst,kill,-1.00,0,30.000,0,3,0.506996,2.738879,13.4333,0,90.50,90.50,435.10,0.0,100,0,0.00
lateral,rm,v10,6,3,worst,kill,-1.00,0,30.000,0,4,0.230993,1.933868,4.8333,0,90.50,90.50,360.10,0.0,100,0,0.00
lateral,rm,v10,6,3,worst,kill,-1.00,0,30.000,0,5,0.051836,0.677818,0.0000,0,90.50,90.50,305.10,0.0,100,0,0.00
lateral,rm,v10,14,3,worst,kill,-1.00,0,30.000,25483,0,0.021676,0.182397,0.0000,0,90.50,90.50,-1.00,0.0,100,7,73.56
lateral,rm,v10,14,3,worst,kill,-1.00,0,30.000,25483,1,0.035371,0.182397,0.0000,0,90.50,90.50,-1.00,0.0,100,7,73.56
lateral,rm,v10,14,3,worst,kill,-1.00,0,30.000,25483,2,0.079986,0.913404,0.5667,0,90.50,90.50,395.10,0.0,100,7,73.56
lateral,rm,v10,14,3,worst,kill,-1.00,0,30.000,25483,3,0.032279,0.182397,0.0000,0,90.50,90.50,-1.00,0.0,100,7,73.56
lateral,rm,v10,14,3,worst,kill,-1.00,0,30.000,25483,4,0.044784,0.477326,0.0000,0,90.50,90.50,435.10,0.0,100,7,73.56
lateral,rm,v10,14,3,worst,kill,-1.00,0,30.000,25483,5,0.027335,0.309563,0.0000,0,90.50,90.50,-1.00,0.0,100,7,73.56
lateral,rm,v10,14,3,worst,kill,-1.00,0,30.000,25483,6,0.202105,1.878714,4.5667,0,85.50,85.50,445.10,0.0,100,7,73.56
lateral,rm,v10,14,3,worst,kill,-1.00,0,30.000,25483,7,12.565621,61.414975,65.0333,724,85.50,85.50,0.00,9765.0,100,7,73.56
lateral,rm,v10,14,3,worst,kill,-1.00,0,30.000,25483,8,12.800199,61.104528,58.2667,758,85.50,85.50,0.00,10170.0,100,7,73.56
lateral,rm,v10,14,3,worst,kill,-1.00,0,30.000,25483,9,32818.130132,297562.197136,60.7000,1678,-1.00,-1.00,0.00,17490.0,100,7,73.56
lateral,rm,v10,14,3,worst,kill,-1.00,0,30.000,25483,10,251593.711658,1256368.375666,70.4667,2048,-1.00,-1.00,0.00,20835.0,100,7,73.56
lateral,rm,v10,14,3,worst,kill,-1.00,0,30.000,25483,11,837082.032227,2858920.875621,98.2333,2885,-1.00,-1.00,0.00,29210.0,100,7,73.56
lateral,rm,v10,14,3,worst,kill,-1.00,0,30.000,25483,12,13229.984284,39161.867870,98.9000,2910,-1.00,-1.00,0.00,29475.0,100,7,73.56
lateral,rm,v10,14,3,worst,kill,-1.00,0,30.000,25483,13,1281.106738,20959.360123,23.5667,616,-1.00,-1.00,0.00,6425.0,100,7,73.56
lateral,rm,v10,18,3,worst,kill,-1.00,0,30.000,55463,0,0.023119,0.193611,0.0000,0,90.50,110.50,-1.00,0.0,100,12,97.95
lateral,rm,v10,18,3,worst,kill,-1.00,0,30.000,55463,1,0.041408,0.182397,0.0000,0,90.50,90.50,-1.00,0.0,100,12,97.95
lateral,rm,v10,18,3,worst,kill,-1.00,0,30.000,55463,2,0.053571,0.179407,0.0000,0,90.50,90.50,-1.00,0.0,100,12,97.95
lateral,rm,v10,18,3,worst,kill,-1.00,0,30.000,55463,3,0.079627,0.988364,0.6667,0,90.50,100.50,365.10,0.0,100,12,97.95
lateral,rm,v10,18,3,worst,kill,-1.00,0,30.000,55463,4,3.922303,17.770265,73.3333,373,90.50,90.50,0.00,4285.0,100,12,97.95
lateral,rm,v10,18,3,worst,kill,-1.00,0,30.000,55463,5,3.174089,15.756975,81.7000,199,90.50,90.50,0.00,2275.0,100,12,97.95
lateral,rm,v10,18,3,worst,kill,-1.00,0,30.000,55463,6,334024.122030,824694.252006,98.8000,2904,-1.00,-1.00,0.00,29475.0,100,12,97.95
lateral,rm,v10,18,3,worst,kill,-1.00,0,30.000,55463,7,33225.544476,85867.165367,98.5333,2879,-1.00,-1.00,0.00,29400.0,100,12,97.95
lateral,rm,v10,18,3,worst,kill,-1.00,0,30.000,55463,8,280313.908258,1206030.338219,94.2667,2426,-1.00,-1.00,0.00,24585.0,100,12,97.95
lateral,rm,v10,18,3,worst,kill,-1.00,0,30.000,55463,9,441729.935335,1494657.547121,97.8667,2892,-1.00,-1.00,0.00,29285.0,100,12,97.95
lateral,rm,v10,18,3,worst,kill,-1.00,0,30.000,55463,10,29720.879068,84105.066731,97.9000,2889,-1.00,-1.00,0.00,29225.0,100,12,97.95
lateral,rm,v10,18,3,worst,kill,-1.00,0,30.000,55463,11,6686.467208,86100.373647,48.2667,1304,-1.00,-1.00,0.00,13750.0,100,12,97.95
lateral,rm,v10,18,3,worst,kill,-1.00,0,30.000,55463,12,54145.055955,417077.844431,98.0000,2856,-1.00,-1.00,0.00,28925.0,100,12,97.95
lateral,rm,v10,18,3,worst,kill,-1.00,0,30.000,55463,13,295503.443001,1403788.140675,73.5667,2142,-1.00,-1.00,0.00,21770.0,100,12,97.95
lateral,rm,v10,18,3,worst,kill,-1.00,0,30.000,55463,14,753220.023143,2665169.936668,95.4000,2796,-1.00,-1.00,0.00,28315.0,100,12,97.95
lateral,rm,v10,18,3,worst,kill,-1.00,0,30.000,55463,15,169650.081511,523892.552163,99.0000,2922,-1.00,-1.00,0.00,29655.0,100,12,97.95
lateral,rm,v10,18,3,worst,kill,-1.00,0,30.000,55463,16,5.827889,154.355276,8.0000,149,-1.00,-1.00,0.00,1750.0,100,12,97.95
lateral,rm,v10,18,3,worst,kill,-1.00,0,30.000,55463,17,4275.629613,58264.761741,29.8000,803,-1.00,-1.00,0.00,8295.0,100,12,97.95
lateral,ttu,v10,6,3,worst,kill,-1.00,0,30.000,0,0,0.020329,0.181496,0.0000,0,85.50,100.50,-1.00,0.0,100,0,0.00
lateral,ttu,v10,6,3,worst,kill,-1.00,0,30.000,0,1,0.068628,0.872411,0.5333,0,90.50,90.50,395.10,0.0,100,0,0.00
lateral,ttu,v10,6,3,worst,kill,-1.00,0,30.000,0,2,0.029742,0.370179,0.0000,0,90.50,90.50,-1.00,0.0,100,0,0.00
lateral,ttu,v10,6,3,worst,kill,-1.00,0,30.000,0,3,0.508085,2.737622,13.4333,0,100.50,100.50,445.10,0.0,100,0,0.00
lateral,ttu,v10,6,3,worst,kill,-1.00,0,30.000,0,4,0.245523,2.053182,5.3333,0,90.50,90.50,350.10,0.0,100,0,0.00
lateral,ttu,v10,6,3,worst,kill,-1.00,0,30.000,0,5,0.051822,0.668852,0.0000,0,90.50,90.50,305.10,0.0,100,0,0.00
lateral,ttu,v10,14,3,worst,kill,-1.00,0,30.000,25484,0,0.021688,0.182501,0.0000,0,90.50,105.50,-1.00,0.0,100,0,0.00
lateral,ttu,v10,14,3,worst,kill,-1.00,0,30.000,25484,1,0.035305,0.182501,0.0000,0,95.50,95.50,-1.00,0.0,100,0,0.00
lateral,ttu,v10,14,3,worst,kill,-1.00,0,30.000,25484,2,0.080587,0.937743,0.5667,0,100.50,100.50,395.10,0.0,100,0,0.00
lateral,ttu,v10,14,3,worst,kill,-1.00,0,30.000,25484,3,0.033343,0.183676,0.0000,0,100.50,100.50,-1.00,0.0,100,0,0.00
lateral,ttu,v10,14,3,worst,kill,-1.00,0,30.000,25484,4,0.044185,0.447345,0.0000,0,100.50,100.50,-1.00,0.0,100,0,0.00
lateral,ttu,v10,14,3,worst,kill,-1.00,0,30.000,25484,5,0.027298,0.307327,0.0000,0,90.50,90.50,-1.00,0.0,100,0,0.00
lateral,ttu,v10,14,3,worst,kill,-1.00,0,30.000,25484,6,0.237854,2.254028,5.1333,0,105.50,105.50,445.10,0.0,100,0,0.00
lateral,ttu,v10,14,3,worst,kill,-1.00,0,30.000,25484,7,2.698845,6.495331,60.3000,0,145.50,145.50,315.10,0.0,100,0,0.00
