plant,net_delay_ms,age_path,hard,max_roll
lateral,4,65.5,0,0.16437
lateral,8,70.5,0,0.16777
lateral,12,85.5,0,0.17863
lateral,16,90.5,0,0.1825
lateral,20,105.5,0,0.19446
lateral,24,105.5,0,0.19446
lateral,28,110.5,0,0.19872
lateral,32,125.5,0,0.20858
lateral,40,145.5,0,0.2323
lateral,60,185.5,0,0.29306
lateral,90,245.5,0,0.70736
lateral,140,345.5,2109,1759144.66891
lateral,200,465.5,2631,3.412008988319664e+17
lateral,300,665.5,2679,4.0520796295440685e+23
cartpole,4,65.5,0,0.00236
cartpole,8,70.5,0,0.00274
cartpole,12,85.5,0,0.00371
cartpole,16,90.5,0,0.00391
cartpole,20,105.5,0,0.03261
cartpole,24,105.5,0,0.03261
cartpole,28,110.5,2313,1028.91273
cartpole,32,125.5,2880,2598.19783
cartpole,40,145.5,2937,33566.81981
cartpole,60,185.5,2949,376.89873
cartpole,90,245.5,2939,53232.06644
cartpole,140,345.5,2953,75159.14059
cartpole,200,465.5,2968,372.56426
cartpole,300,665.5,2968,1974.48348
