scheduler,pred_margin_ms,vehicles,floor_ms,guard_cap_ms,offset_seed,hard_z0,hard_z1,hard_z2,hard_z3,total_hard,clean,soft_z0,soft_z1,soft_z2,soft_z3,fleet_max_ey_m,ey_margin_m,age_path_ms,missed_E,missed_B,missed_F,missed_M,missed_jobs,profile,cores,exec,duration_s,git_sha
frontier,100,20,60,450,101,0,0,0,26,26,0,12832,4733,8845,7404,0.8478,-0.0478,960.5,70316,20306,98106,21344,210072,10,3,worst,120,ef87ca8
aguard,80,20,60,450,101,25050,14291,31718,5424,76483,0,79114,28559,64266,16469,156860.7561,-156859.9561,7405.5,126625,47971,59899,53832,288327,10,3,worst,120,ef87ca8
frontier,100,20,60,450,102,0,0,25,120,145,0,14635,6375,11632,8693,0.921,-0.121,550.5,70178,20492,98086,21565,210321,10,3,worst,120,ef87ca8
aguard,80,20,60,450,102,60502,24529,51869,10267,147167,0,89044,31161,69599,17861,185991081920.8948,-185991081920.0948,12584.9,126348,47967,59951,53909,288175,10,3,worst,120,ef87ca8
frontier,100,20,60,450,103,0,0,0,39,39,0,12997,5319,9131,8039,0.8403,-0.0403,570.5,71999,22087,96683,23199,213968,10,3,worst,120,ef87ca8
aguard,80,20,60,450,103,36,0,0,30,66,0,63079,21791,52431,14243,0.8592,-0.0592,2145.5,127048,47947,59814,53751,288560,10,3,worst,120,ef87ca8
frontier,100,20,60,700,101,0,0,0,26,26,0,12832,4733,8845,7404,0.8478,-0.0478,960.5,70316,20306,98106,21344,210072,10,3,worst,120,ef87ca8
aguard,80,20,60,700,101,25050,14291,31718,5424,76483,0,79114,28559,64266,16469,156860.7561,-156859.9561,7405.5,126625,47971,59899,53832,288327,10,3,worst,120,ef87ca8
frontier,100,20,60,700,102,0,0,25,120,145,0,14635,6375,11632,8693,0.921,-0.121,550.5,70178,20492,98086,21565,210321,10,3,worst,120,ef87ca8
aguard,80,20,60,700,102,60502,24529,51869,10267,147167,0,89044,31161,69599,17861,185991081920.8948,-185991081920.0948,12584.9,126348,47967,59951,53909,288175,10,3,worst,120,ef87ca8
frontier,100,20,60,700,103,0,0,0,39,39,0,12997,5319,9131,8039,0.8403,-0.0403,570.5,71999,22087,96683,23199,213968,10,3,worst,120,ef87ca8
aguard,80,20,60,700,103,36,0,0,30,66,0,63079,21791,52431,14243,0.8592,-0.0592,2145.5,127048,47947,59814,53751,288560,10,3,worst,120,ef87ca8
frontier,100,20,60,1000,101,0,0,0,26,26,0,12832,4733,8845,7404,0.8478,-0.0478,960.5,70316,20306,98106,21344,210072,10,3,worst,120,ef87ca8
aguard,80,20,60,1000,101,25050,14291,31718,5424,76483,0,79114,28559,64266,16469,156860.7561,-156859.9561,7405.5,126625,47971,59899,53832,288327,10,3,worst,120,ef87ca8
frontier,100,20,60,1000,102,0,0,25,120,145,0,14635,6375,11632,8693,0.921,-0.121,550.5,70178,20492,98086,21565,210321,10,3,worst,120,ef87ca8
aguard,80,20,60,1000,102,60502,24529,51869,10267,147167,0,89044,31161,69599,17861,185991081920.8948,-185991081920.0948,12584.9,126348,47967,59951,53909,288175,10,3,worst,120,ef87ca8
frontier,100,20,60,1000,103,0,0,0,39,39,0,12997,5319,9131,8039,0.8403,-0.0403,570.5,71999,22087,96683,23199,213968,10,3,worst,120,ef87ca8
aguard,80,20,60,1000,103,36,0,0,30,66,0,63079,21791,52431,14243,0.8592,-0.0592,2145.5,127048,47947,59814,53751,288560,10,3,worst,120,ef87ca8
frontier,100,20,100,450,101,0,0,0,0,0,1,11497,5644,8799,6641,0.7906,0.0094,690.5,67960,18127,99749,19203,205039,10,3,worst,120,ef87ca8
aguard,80,20,100,450,101,63004,26338,56028,9529,154899,0,89805,31406,71256,17827,46508457674.106,-46508457673.306,3660.5,126318,47977,59952,53903,288150,10,3,worst,120,ef87ca8
frontier,100,20,100,450,102,0,0,0,0,0,1,12096,6630,9281,6958,0.7898,0.0102,590.5,67819,18054,99701,19062,204636,10,3,worst,120,ef87ca8
aguard,80,20,100,450,102,39604,17728,37159,7382,101873,0,82854,29672,65079,16780,3904959.5449,-3904958.7449,26504.9,126494,47942,59933,53878,288247,10,3,worst,120,ef87ca8
frontier,100,20,100,450,103,0,0,0,0,0,1,10592,6386,8266,6845,0.7384,0.0616,610.5,69623,19611,98552,20690,208476,10,3,worst,120,ef87ca8
aguard,80,20,100,450,103,48538,19147,43129,10652,121466,0,78602,28081,65589,17177,71683208.9642,-71683208.1642,4340.5,126351,47972,59936,53912,288171,10,3,worst,120,ef87ca8
frontier,100,20,100,700,101,0,0,0,0,0,1,11497,5644,8799,6641,0.7906,0.0094,690.5,67960,18127,99749,19203,205039,10,3,worst,120,ef87ca8
aguard,80,20,100,700,101,63004,26338,56028,9529,154899,0,89805,31406,71256,17827,46508457674.106,-46508457673.306,3660.5,126318,47977,59952,53903,288150,10,3,worst,120,ef87ca8
frontier,100,20,100,700,102,0,0,0,0,0,1,12096,6630,9281,6958,0.7898,0.0102,590.5,67819,18054,99701,19062,204636,10,3,worst,120,ef87ca8
aguard,80,20,100,700,102,39604,17728,37159,7382,101873,0,82854,29672,65079,16780,3904959.5449,-3904958.7449,26504.9,126494,47942,59933,53878,288247,10,3,worst,120,ef87ca8
frontier,100,20,100,700,103,0,0,0,0,0,1,10592,6386,8266,6845,0.7384,0.0616,610.5,69623,19611,98552,20690,208476,10,3,worst,120,ef87ca8
aguard,80,20,100,700,103,48538,19147,43129,10652,121466,0,78602,28081,65589,17177,71683208.9642,-71683208.1642,4340.5,126351,47972,59936,53912,288171,10,3,worst,120,ef87ca8
frontier,100,20,100,1000,101,0,0,0,0,0,1,11497,5644,8799,6641,0.7906,0.0094,690.5,67960,18127,99749,19203,205039,10,3,worst,120,ef87ca8
aguard,80,20,100,1000,101,63004,26338,56028,9529,154899,0,89805,31406,71256,17827,46508457674.106,-46508457673.306,3660.5,126318,47977,59952,53903,288150,10,3,worst,120,ef87ca8
frontier,100,20,100,1000,102,0,0,0,0,0,1,12096,6630,9281,6958,0.7898,0.0102,590.5,67819,18054,99701,19062,204636,10,3,worst,120,ef87ca8
aguard,80,20,100,1000,102,39604,17728,37159,7382,101873,0,82854,29672,65079,16780,3904959.5449,-3904958.7449,26504.9,126494,47942,59933,53878,288247,10,3,worst,120,ef87ca8
frontier,100,20,100,1000,103,0,0,0,0,0,1,10592,6386,8266,6845,0.7384,0.0616,610.5,69623,19611,98552,20690,208476,10,3,worst,120,ef87ca8
aguard,80,20,100,1000,103,48538,19147,43129,10652,121466,0,78602,28081,65589,17177,71683208.9642,-71683208.1642,4340.5,126351,47972,59936,53912,288171,10,3,worst,120,ef87ca8
frontier,100,20,140,450,101,0,0,0,0,0,1,9034,6757,8560,6330,0.6733,0.1267,905.5,66002,16052,101154,17202,200410,10,3,worst,120,ef87ca8
aguard,80,20,140,450,101,49290,23565,50413,8011,131279,0,87441,31310,69875,16868,354740196.7714,-354740195.9714,3840.5,126403,47977,59951,53874,288205,10,3,worst,120,ef87ca8
frontier,100,20,140,450,102,0,0,0,0,0,1,9376,7612,7572,6265,0.6957,0.1043,720.5,65977,15554,101272,16816,199619,10,3,worst,120,ef87ca8
aguard,80,20,140,450,102,50008,21162,44978,8800,124948,0,86330,30370,67343,17328,47077668.4795,-47077667.6795,6185.5,126439,47968,59907,53883,288197,10,3,worst,120,ef87ca8
frontier,100,20,140,450,103,0,0,0,0,0,1,9072,7012,7960,6424,0.7012,0.0988,630.5,67194,17361,100126,18452,203133,10,3,worst,120,ef87ca8
aguard,80,20,140,450,103,29279,10091,25318,6560,71248,0,70381,24524,59173,15569,55360.6319,-55359.8319,24260.5,126478,47966,59924,53865,288233,10,3,worst,120,ef87ca8
frontier,100,20,140,700,101,0,0,0,0,0,1,9034,6757,8560,6330,0.6733,0.1267,905.5,66002,16052,101154,17202,200410,10,3,worst,120,ef87ca8
aguard,80,20,140,700,101,49290,23565,50413,8011,131279,0,87441,31310,69875,16868,354740196.7714,-354740195.9714,3840.5,126403,47977,59951,53874,288205,10,3,worst,120,ef87ca8
frontier,100,20,140,700,102,0,0,0,0,0,1,9376,7612,7572,6265,0.6957,0.1043,720.5,65977,15554,101272,16816,199619,10,3,worst,120,ef87ca8
aguard,80,20,140,700,102,50008,21162,44978,8800,124948,0,86330,30370,67343,17328,47077668.4795,-47077667.6795,6185.5,126439,47968,59907,53883,288197,10,3,worst,120,ef87ca8
frontier,100,20,140,700,103,0,0,0,0,0,1,9072,7012,7960,6424,0.7012,0.0988,630.5,67194,17361,100126,18452,203133,10,3,worst,120,ef87ca8
aguard,80,20,140,700,103,29279,10091,25318,6560,71248,0,70381,24524,59173,15569,55360.6319,-55359.8319,24260.5,126478,47966,59924,53865,288233,10,3,worst,120,ef87ca8
frontier,100,20,140,1000,101,0,0,0,0,0,1,9034,6757,8560,6330,0.6733,0.1267,905.5,66002,16052,101154,17202,200410,10,3,worst,120,ef87ca8
aguard,80,20,140,1000,101,49290,23565,50413,8011,131279,0,87441,31310,69875,16868,354740196.7714,-354740195.9714,3840.5,126403,47977,59951,53874,288205,10,3,worst,120,ef87ca8
frontier,100,20,140,1000,102,0,0,0,0,0,1,9376,7612,7572,6265,0.6957,0.1043,720.5,65977,15554,101272,16816,199619,10,3,worst,120,ef87ca8
aguard,80,20,140,1000,102,50008,21162,44978,8800,124948,0,86330,30370,67343,17328,47077668.4795,-47077667.6795,6185.5,126439,47968,59907,53883,288197,10,3,worst,120,ef87ca8
