profile,zone,start_tick,len_ticks,start_m,len_m
v10,0,1030600,282400,861.98,273.18
v10,1,135000,22200,135.0,21.9
v10,2,157200,63400,156.9,57.26
v10,1,220600,22200,214.16,21.95
v10,0,242800,38600,236.11,38.6
v10,1,281400,10400,274.71,10.07
v10,2,291800,23600,284.78,21.0
v10,1,315400,22400,305.78,19.6
v10,2,337800,23400,325.38,20.87
v10,1,361200,10000,346.25,9.71
v10,0,371200,200,355.96,0.2
v10,1,371400,12400,356.16,10.97
v10,2,383800,130800,367.13,72.16
v10,1,514600,12800,439.3,11.56
v10,0,527400,28400,450.85,26.51
v10,1,555800,29600,477.37,24.5
v10,2,585400,78200,501.86,59.06
v10,1,663600,29600,560.93,24.59
v10,0,693200,67600,585.52,63.07
v10,3,760800,32000,648.59,28.8
v10,0,792800,5000,677.39,4.5
v10,3,797800,32200,681.89,28.98
v10,0,830000,92200,710.87,76.08
v10,3,922200,19400,786.94,14.55
v10,2,941600,67200,801.49,46.02
v10,3,1008800,21800,847.51,14.47
v12.5,0,824600,227400,862.09,273.07
v12.5,1,108000,17800,135.0,21.94
v12.5,2,125800,50600,156.94,57.12
v12.5,1,176400,17800,214.07,21.99
v12.5,0,194200,31000,236.06,38.75
v12.5,1,225200,8400,274.81,10.16
v12.5,2,233600,18800,284.97,20.9
v12.5,1,252400,8800,305.87,9.62
v12.5,0,261200,200,315.49,0.22
v12.5,1,261400,8800,315.71,9.63
v12.5,2,270200,18800,325.34,20.96
v12.5,1,289000,18000,346.3,20.8
v12.5,2,307000,104600,367.1,72.12
v12.5,1,411600,10200,439.22,11.49
v12.5,0,421800,23000,450.7,26.84
v12.5,1,444800,23400,477.54,24.2
v12.5,2,468200,62600,501.75,59.1
v12.5,1,530800,23800,560.85,24.71
v12.5,0,554600,53800,585.56,62.76
v12.5,3,608400,26000,648.32,29.25
v12.5,0,634400,3800,677.57,4.27
v12.5,3,638200,26100,681.84,29.25
v12.5,0,664300,73300,711.09,75.7
v12.5,3,737600,16000,786.79,15.0
v12.5,2,753600,53200,801.79,45.53
v12.5,3,806800,17800,847.32,14.77
v15,0,687400,188600,862.33,272.82
v15,1,90000,14800,135.0,21.9
v15,2,104800,42200,156.9,57.17
v15,1,147000,14800,214.07,21.94
v15,0,161800,25800,236.01,38.7
v15,1,187600,7000,274.71,10.17
v15,2,194600,15800,284.87,21.08
v15,1,210400,14800,305.95,19.42
v15,2,225200,15600,325.38,20.87
v15,1,240800,15200,346.25,21.04
v15,2,256000,87000,367.29,71.93
v15,1,343000,8600,439.22,11.64
v15,0,351600,19000,450.85,26.6
v15,1,370600,19600,477.45,24.33
v15,2,390200,52200,501.78,59.14
v15,1,442400,19800,560.93,24.68
v15,0,462200,44500,585.6,62.17
v15,3,506700,47200,647.78,63.72
v15,0,553900,60500,711.5,74.99
v15,3,614400,13600,786.49,15.3
v15,2,628000,44200,801.79,45.41
v15,3,672200,15200,847.2,15.14
