variant,zone_consts,zone,extra_ms,phase,age_path_ms,total_hard,z0_hard,z1_hard,z2_hard,z3_hard,soft_pct,fleet_max_ey_m,profile,duration_s,git_sha
baseline,"0.0215,0.0035,0.004,50,100,350",3,20,0.0,110.5,0,0,0,0,0,4.27,0.4845,12.5,95,da06be4-dirty
baseline,"0.0215,0.0035,0.004,50,100,350",3,20,1.0,110.5,0,0,0,0,0,4.37,0.4895,12.5,95,da06be4-dirty
baseline,"0.0215,0.0035,0.004,50,100,350",3,20,2.0,110.5,0,0,0,0,0,4.46,0.4946,12.5,95,da06be4-dirty
baseline,"0.0215,0.0035,0.004,50,100,350",3,20,3.0,110.5,0,0,0,0,0,4.54,0.4996,12.5,95,da06be4-dirty
baseline,"0.0215,0.0035,0.004,50,100,350",3,20,4.0,110.5,0,0,0,0,0,4.59,0.5046,12.5,95,da06be4-dirty
baseline,"0.0215,0.0035,0.004,50,100,350",3,20,5.0,110.5,0,0,0,0,0,4.69,0.5097,12.5,95,da06be4-dirty
baseline,"0.0215,0.0035,0.004,50,100,350",3,20,6.0,110.5,0,0,0,0,0,4.73,0.5147,12.5,95,da06be4-dirty
baseline,"0.0215,0.0035,0.004,50,100,350",3,20,7.0,110.5,0,0,0,0,0,4.77,0.5197,12.5,95,da06be4-dirty
baseline,"0.0215,0.0035,0.004,50,100,350",3,20,8.0,110.5,0,0,0,0,0,4.83,0.5248,12.5,95,da06be4-dirty
baseline,"0.0215,0.0035,0.004,50,100,350",3,20,9.0,110.5,0,0,0,0,0,5.06,0.5298,12.5,95,da06be4-dirty
baseline,"0.0215,0.0035,0.004,50,100,350",3,20,10.0,110.5,0,0,0,0,0,5.29,0.5348,12.5,95,da06be4-dirty
baseline,"0.0215,0.0035,0.004,50,100,350",3,20,11.0,110.5,0,0,0,0,0,5.43,0.5399,12.5,95,da06be4-dirty
baseline,"0.0215,0.0035,0.004,50,100,350",3,20,12.0,110.5,0,0,0,0,0,5.52,0.5449,12.5,95,da06be4-dirty
baseline,"0.0215,0.0035,0.004,50,100,350",3,20,13.0,110.5,0,0,0,0,0,5.59,0.5499,12.5,95,da06be4-dirty
baseline,"0.0215,0.0035,0.004,50,100,350",3,20,14.0,110.5,0,0,0,0,0,5.69,0.555,12.5,95,da06be4-dirty
baseline,"0.0215,0.0035,0.004,50,100,350",3,20,15.0,110.5,0,0,0,0,0,5.8,0.56,12.5,95,da06be4-dirty
baseline,"0.0215,0.0035,0.004,50,100,350",3,20,16.0,110.5,0,0,0,0,0,5.86,0.5651,12.5,95,da06be4-dirty
baseline,"0.0215,0.0035,0.004,50,100,350",3,20,17.0,110.5,0,0,0,0,0,5.92,0.5701,12.5,95,da06be4-dirty
baseline,"0.0215,0.0035,0.004,50,100,350",3,20,18.0,110.5,0,0,0,0,0,5.99,0.5752,12.5,95,da06be4-dirty
baseline,"0.0215,0.0035,0.004,50,100,350",3,20,19.0,110.5,0,0,0,0,0,6.04,0.5802,12.5,95,da06be4-dirty
baseline,"0.0215,0.0035,0.004,50,100,350",3,20,19.9,110.5,0,0,0,0,0,6.09,0.5847,12.5,95,da06be4-dirty
baseline,"0.0215,0.0035,0.004,50,100,350",3,30,0.0,120.5,0,0,0,0,0,4.62,0.499,12.5,95,da06be4-dirty
baseline,"0.0215,0.0035,0.004,50,100,350",3,30,1.0,120.5,0,0,0,0,0,4.74,0.5041,12.5,95,da06be4-dirty
baseline,"0.0215,0.0035,0.004,50,100,350",3,30,2.0,120.5,0,0,0,0,0,4.83,0.5093,12.5,95,da06be4-dirty
baseline,"0.0215,0.0035,0.004,50,100,350",3,30,3.0,120.5,0,0,0,0,0,4.95,0.5144,12.5,95,da06be4-dirty
baseline,"0.0215,0.0035,0.004,50,100,350",3,30,4.0,120.5,0,0,0,0,0,5.01,0.5195,12.5,95,da06be4-dirty
baseline,"0.0215,0.0035,0.004,50,100,350",3,30,5.0,120.5,0,0,0,0,0,5.08,0.5246,12.5,95,da06be4-dirty
baseline,"0.0215,0.0035,0.004,50,100,350",3,30,6.0,120.5,0,0,0,0,0,5.12,0.5297,12.5,95,da06be4-dirty
baseline,"0.0215,0.0035,0.004,50,100,350",3,30,7.0,120.5,0,0,0,0,0,5.19,0.5349,12.5,95,da06be4-dirty
baseline,"0.0215,0.0035,0.004,50,100,350",3,30,8.0,120.5,0,0,0,0,0,5.25,0.54,12.5,95,da06be4-dirty
baseline,"0.0215,0.0035,0.004,50,100,350",3,30,9.0,120.5,0,0,0,0,0,5.54,0.5451,12.5,95,da06be4-dirty
baseline,"0.0215,0.0035,0.004,50,100,350",3,30,10.0,120.5,0,0,0,0,0,5.8,0.5502,12.5,95,da06be4-dirty
baseline,"0.0215,0.0035,0.004,50,100,350",3,30,11.0,120.5,0,0,0,0,0,5.91,0.5554,12.5,95,da06be4-dirty
baseline,"0.0215,0.0035,0.004,50,100,350",3,30,12.0,120.5,0,0,0,0,0,5.99,0.5605,12.5,95,da06be4-dirty
baseline,"0.0215,0.0035,0.004,50,100,350",3,30,13.0,120.5,0,0,0,0,0,6.06,0.5656,12.5,95,da06be4-dirty
baseline,"0.0215,0.0035,0.004,50,100,350",3,30,14.0,120.5,0,0,0,0,0,6.15,0.5707,12.5,95,da06be4-dirty
baseline,"0.0215,0.0035,0.004,50,100,350",3,30,15.0,120.5,0,0,0,0,0,6.26,0.5759,12.5,95,da06be4-dirty
baseline,"0.0215,0.0035,0.004,50,100,350",3,30,16.0,120.5,0,0,0,0,0,6.33,0.581,12.5,95,da06be4-dirty
baseline,"0.0215,0.0035,0.004,50,100,350",3,30,17.0,120.5,0,0,0,0,0,6.38,0.5861,12.5,95,da06be4-dirty
baseline,"0.0215,0.0035,0.004,50,100,350",3,30,18.0,120.5,0,0,0,0,0,6.42,0.5912,12.5,95,da06be4-dirty
baseline,"0.0215,0.0035,0.004,50,100,350",3,30,19.0,120.5,0,0,0,0,0,6.49,0.5964,12.5,95,da06be4-dirty
baseline,"0.0215,0.0035,0.004,50,100,350",3,30,19.9,120.5,0,0,0,0,0,6.49,0.6009,12.5,95,da06be4-dirty
baseline,"0.0215,0.0035,0.004,50,100,350",3,40,0.0,130.5,0,0,0,0,0,4.76,0.5725,12.5,95,da06be4-dirty
baseline,"0.0215,0.0035,0.004,50,100,350",3,40,1.0,130.5,0,0,0,0,0,4.87,0.5748,12.5,95,da06be4-dirty
baseline,"0.0215,0.0035,0.004,50,100,350",3,40,2.0,130.5,0,0,0,0,0,4.97,0.5771,12.5,95,da06be4-dirty
baseline,"0.0215,0.0035,0.004,50,100,350",3,40,3.0,130.5,0,0,0,0,0,5.06,0.5795,12.5,95,da06be4-dirty
baseline,"0.0215,0.0035,0.004,50,100,350",3,40,4.0,130.5,0,0,0,0,0,5.13,0.5819,12.5,95,da06be4-dirty
baseline,"0.0215,0.0035,0.004,50,100,350",3,40,5.0,130.5,0,0,0,0,0,5.19,0.5843,12.5,95,da06be4-dirty
baseline,"0.0215,0.0035,0.004,50,100,350",3,40,6.0,130.5,0,0,0,0,0,5.25,0.5868,12.5,95,da06be4-dirty
baseline,"0.0215,0.0035,0.004,50,100,350",3,40,7.0,130.5,0,0,0,0,0,5.31,0.5893,12.5,95,da06be4-dirty
baseline,"0.0215,0.0035,0.004,50,100,350",3,40,8.0,130.5,0,0,0,0,0,5.35,0.5918,12.5,95,da06be4-dirty
baseline,"0.0215,0.0035,0.004,50,100,350",3,40,9.0,130.5,0,0,0,0,0,5.62,0.5944,12.5,95,da06be4-dirty
baseline,"0.0215,0.0035,0.004,50,100,350",3,40,10.0,130.5,0,0,0,0,0,5.78,0.597,12.5,95,da06be4-dirty
baseline,"0.0215,0.0035,0.004,50,100,350",3,40,11.0,130.5,0,0,0,0,0,5.88,0.5996,12.5,95,da06be4-dirty
baseline,"0.0215,0.0035,0.004,50,100,350",3,40,12.0,130.5,0,0,0,0,0,5.99,0.6023,12.5,95,da06be4-dirty
