zone,zone_name,extra_ms,age_path_ms,total_hard,z0_hard,z1_hard,z2_hard,z3_hard
0,straight,0,90.5,0,0,0,0,0
0,straight,50,140.5,0,0,0,0,0
0,straight,100,190.5,0,0,0,0,0
0,straight,150,240.5,0,0,0,0,0
0,straight,200,290.5,0,0,0,0,0
0,straight,250,340.5,2085,1362,200,371,152
0,straight,300,390.5,6576,3389,911,1937,339
0,straight,350,440.5,9439,4239,1245,2984,971
0,straight,400,490.5,11268,4839,1597,3785,1047
0,straight,450,540.5,11551,4977,1680,3840,1054
1,slight-turn,0,90.5,0,0,0,0,0
1,slight-turn,50,160.5,0,0,0,0,0
1,slight-turn,100,190.5,0,0,0,0,0
1,slight-turn,150,250.5,0,0,0,0,0
1,slight-turn,200,310.5,0,0,0,0,0
1,slight-turn,250,340.5,0,0,0,0,0
1,slight-turn,300,400.5,0,0,0,0,0
1,slight-turn,350,460.5,180,0,56,124,0
1,slight-turn,400,490.5,625,2,112,511,0
1,slight-turn,450,550.5,935,2,130,803,0
2,sharp-turn,0,90.5,0,0,0,0,0
2,sharp-turn,50,140.5,0,0,0,0,0
2,sharp-turn,100,190.5,0,0,0,0,0
2,sharp-turn,150,240.5,0,0,0,0,0
2,sharp-turn,200,290.5,0,0,0,0,0
2,sharp-turn,250,340.5,531,43,155,333,0
2,sharp-turn,300,390.5,4583,1127,990,1915,551
2,sharp-turn,350,440.5,9301,3807,1296,3148,1050
2,sharp-turn,400,490.5,9750,3936,1411,3349,1054
2,sharp-turn,450,540.5,9886,3974,1454,3404,1054
3,lane-change,0,90.5,0,0,0,0,0
3,lane-change,50,140.5,0,0,0,0,0
3,lane-change,100,190.5,136,60,0,0,76
3,lane-change,150,240.5,380,213,0,0,167
3,lane-change,200,290.5,715,416,0,0,299
3,lane-change,250,340.5,1369,747,0,144,478
3,lane-change,300,390.5,2128,1050,0,445,633
3,lane-change,350,440.5,2864,1469,0,584,811
3,lane-change,400,490.5,3291,1787,0,634,870
3,lane-change,450,540.5,3785,2238,0,659,888
