zone,zone_name,extra_ms,phase_kind,phase,age_path_ms,total_hard,z0_hard,z1_hard,z2_hard,z3_hard,soft_pct,fleet_max_ey_m,z0_max_ey_m,z1_max_ey_m,z2_max_ey_m,z3_max_ey_m,f_stale_max_ms,profile,duration_s,git_sha,ff_extra_ms
0,straight,150,offset_ms,0.0,240.5,0,0,0,0,0,4.6,0.3512,0.2992,0.095,0.1068,0.3512,22.3,10,120,b96a8c6-dirty,0.0
0,straight,150,offset_ms,1.0,240.5,0,0,0,0,0,4.75,0.3548,0.3023,0.0962,0.1078,0.3548,22.3,10,120,b96a8c6-dirty,0.0
0,straight,150,offset_ms,2.0,240.5,0,0,0,0,0,4.88,0.3585,0.3054,0.0974,0.1087,0.3585,22.3,10,120,b96a8c6-dirty,0.0
0,straight,150,offset_ms,3.0,240.5,0,0,0,0,0,5.01,0.3622,0.3085,0.0986,0.1097,0.3622,22.3,10,120,b96a8c6-dirty,0.0
0,straight,150,offset_ms,4.0,240.5,0,0,0,0,0,5.23,0.3658,0.3117,0.0998,0.1107,0.3658,22.3,10,120,b96a8c6-dirty,0.0
0,straight,150,offset_ms,5.0,240.5,0,0,0,0,0,5.36,0.3695,0.3149,0.101,0.1116,0.3695,22.3,10,120,b96a8c6-dirty,0.0
0,straight,150,offset_ms,6.0,240.5,0,0,0,0,0,5.5,0.3732,0.3181,0.1022,0.1126,0.3732,22.3,10,120,b96a8c6-dirty,0.0
0,straight,150,offset_ms,7.0,240.5,0,0,0,0,0,5.61,0.377,0.3213,0.1034,0.1136,0.377,22.3,10,120,b96a8c6-dirty,0.0
0,straight,150,offset_ms,8.0,240.5,0,0,0,0,0,5.73,0.3807,0.3245,0.1046,0.1146,0.3807,22.3,10,120,b96a8c6-dirty,0.0
0,straight,150,offset_ms,9.0,240.5,0,0,0,0,0,5.83,0.3844,0.3277,0.1058,0.1156,0.3844,22.3,10,120,b96a8c6-dirty,0.0
0,straight,150,offset_ms,10.0,240.5,0,0,0,0,0,6.01,0.3882,0.331,0.109,0.1161,0.3882,22.3,10,120,b96a8c6-dirty,0.0
0,straight,150,offset_ms,11.0,240.5,0,0,0,0,0,6.16,0.3919,0.3342,0.1102,0.1171,0.3919,22.3,10,120,b96a8c6-dirty,0.0
0,straight,150,offset_ms,12.0,240.5,0,0,0,0,0,6.3,0.3957,0.3375,0.1114,0.1182,0.3957,22.3,10,120,b96a8c6-dirty,0.0
0,straight,150,offset_ms,13.0,240.5,0,0,0,0,0,6.4,0.3995,0.3408,0.1126,0.1192,0.3995,22.3,10,120,b96a8c6-dirty,0.0
0,straight,150,offset_ms,14.0,240.5,0,0,0,0,0,6.51,0.4033,0.3442,0.1138,0.1202,0.4033,22.3,10,120,b96a8c6-dirty,0.0
0,straight,150,offset_ms,15.0,240.5,0,0,0,0,0,6.59,0.407,0.3475,0.115,0.1213,0.407,22.3,10,120,b96a8c6-dirty,0.0
0,straight,150,offset_ms,16.0,240.5,0,0,0,0,0,6.7,0.4108,0.3508,0.1162,0.1223,0.4108,22.3,10,120,b96a8c6-dirty,0.0
0,straight,150,offset_ms,17.0,240.5,0,0,0,0,0,6.81,0.4147,0.3542,0.1174,0.1234,0.4147,22.3,10,120,b96a8c6-dirty,0.0
0,straight,150,offset_ms,18.0,240.5,0,0,0,0,0,6.88,0.4185,0.3575,0.1186,0.1244,0.4185,22.3,10,120,b96a8c6-dirty,0.0
0,straight,150,offset_ms,19.0,240.5,0,0,0,0,0,6.98,0.4223,0.3609,0.1198,0.1255,0.4223,22.3,10,120,b96a8c6-dirty,0.0
