zone,zone_name,extra_ms,phase_kind,phase,age_path_ms,total_hard,z0_hard,z1_hard,z2_hard,z3_hard,soft_pct,fleet_max_ey_m,z0_max_ey_m,z1_max_ey_m,z2_max_ey_m,z3_max_ey_m,f_stale_max_ms,profile,duration_s,git_sha,ff_extra_ms
0,straight,50,offset_ms,0.0,140.5,0,0,0,0,0,8.61,0.4978,0.4001,0.3561,0.3105,0.4978,22.3,15,79,b96a8c6-dirty,0.0
0,straight,50,offset_ms,1.0,140.5,0,0,0,0,0,8.72,0.5036,0.4016,0.3609,0.3118,0.5036,22.3,15,79,b96a8c6-dirty,0.0
0,straight,50,offset_ms,2.0,140.5,0,0,0,0,0,8.8,0.5095,0.403,0.3657,0.313,0.5095,22.3,15,79,b96a8c6-dirty,0.0
0,straight,50,offset_ms,3.0,140.5,0,0,0,0,0,8.89,0.5154,0.4045,0.3705,0.3142,0.5154,22.3,15,79,b96a8c6-dirty,0.0
0,straight,50,offset_ms,4.0,140.5,0,0,0,0,0,8.97,0.5213,0.406,0.3752,0.3154,0.5213,22.3,15,79,b96a8c6-dirty,0.0
0,straight,50,offset_ms,5.0,140.5,0,0,0,0,0,9.08,0.5272,0.4075,0.38,0.3166,0.5272,22.3,15,79,b96a8c6-dirty,0.0
0,straight,50,offset_ms,6.0,140.5,0,0,0,0,0,9.14,0.5331,0.409,0.3848,0.3178,0.5331,22.3,15,79,b96a8c6-dirty,0.0
0,straight,50,offset_ms,7.0,140.5,0,0,0,0,0,9.3,0.539,0.4106,0.3896,0.319,0.539,22.3,15,79,b96a8c6-dirty,0.0
0,straight,50,offset_ms,8.0,140.5,0,0,0,0,0,9.46,0.5449,0.4122,0.3944,0.3202,0.5449,22.3,15,79,b96a8c6-dirty,0.0
0,straight,50,offset_ms,9.0,140.5,0,0,0,0,0,9.65,0.5509,0.4138,0.3992,0.3213,0.5509,22.3,15,79,b96a8c6-dirty,0.0
0,straight,50,offset_ms,10.0,140.5,0,0,0,0,0,9.96,0.5572,0.4141,0.4057,0.321,0.5572,22.3,15,79,b96a8c6-dirty,0.0
0,straight,50,offset_ms,11.0,140.5,0,0,0,0,0,10.13,0.5631,0.4158,0.4106,0.3221,0.5631,22.3,15,79,b96a8c6-dirty,0.0
0,straight,50,offset_ms,12.0,140.5,0,0,0,0,0,10.27,0.5691,0.4174,0.4154,0.3233,0.5691,22.3,15,79,b96a8c6-dirty,0.0
0,straight,50,offset_ms,13.0,140.5,0,0,0,0,0,10.41,0.575,0.4191,0.4202,0.3244,0.575,22.3,15,79,b96a8c6-dirty,0.0
0,straight,50,offset_ms,14.0,140.5,0,0,0,0,0,10.57,0.581,0.4208,0.425,0.3255,0.581,22.3,15,79,b96a8c6-dirty,0.0
0,straight,50,offset_ms,15.0,140.5,0,0,0,0,0,10.71,0.587,0.4225,0.4298,0.3265,0.587,22.3,15,79,b96a8c6-dirty,0.0
0,straight,50,offset_ms,16.0,140.5,0,0,0,0,0,10.81,0.593,0.4242,0.4347,0.3276,0.593,22.3,15,79,b96a8c6-dirty,0.0
0,straight,50,offset_ms,17.0,140.5,0,0,0,0,0,10.95,0.599,0.426,0.4395,0.3289,0.599,22.3,15,79,b96a8c6-dirty,0.0
0,straight,50,offset_ms,18.0,140.5,0,0,0,0,0,11.06,0.605,0.4278,0.4443,0.3321,0.605,22.3,15,79,b96a8c6-dirty,0.0
0,straight,50,offset_ms,19.0,140.5,0,0,0,0,0,11.14,0.611,0.4296,0.4492,0.3354,0.611,22.3,15,79,b96a8c6-dirty,0.0
0,straight,50,offset_ms,19.9,140.5,0,0,0,0,0,11.3,0.6162,0.431,0.4533,0.3377,0.6162,22.3,15,79,b96a8c6-dirty,0.0
0,straight,100,offset_ms,0.0,190.5,0,0,0,0,0,8.95,0.5027,0.3934,0.3518,0.3179,0.5027,22.3,15,79,b96a8c6-dirty,0.0
