zone,zone_name,extra_ms,age_path_ms,total_hard,z0_hard,z1_hard,z2_hard,z3_hard
0,straight,0,90.5,0,0,0,0,0
0,straight,50,140.5,0,0,0,0,0
0,straight,100,190.5,0,0,0,0,0
0,straight,150,240.5,0,0,0,0,0
0,straight,200,290.5,0,0,0,0,0
0,straight,250,340.5,1922,1173,161,477,111
0,straight,300,390.5,5401,2470,764,1842,325
0,straight,350,440.5,7494,3284,1009,2400,801
0,straight,400,490.5,8989,3781,1310,3041,857
0,straight,450,540.5,8996,3773,1339,3028,856
1,slight-turn,0,90.5,0,0,0,0,0
1,slight-turn,50,150.5,0,0,0,0,0
1,slight-turn,100,210.5,0,0,0,0,0
1,slight-turn,150,240.5,0,0,0,0,0
1,slight-turn,200,300.5,47,0,8,39,0
1,slight-turn,250,360.5,194,0,61,133,0
1,slight-turn,300,390.5,249,0,76,173,0
1,slight-turn,350,450.5,461,150,55,256,0
1,slight-turn,400,510.5,1008,325,194,489,0
1,slight-turn,450,540.5,2553,544,546,1321,142
2,sharp-turn,0,90.5,0,0,0,0,0
2,sharp-turn,50,140.5,0,0,0,0,0
2,sharp-turn,100,190.5,0,0,0,0,0
2,sharp-turn,150,240.5,0,0,0,0,0
2,sharp-turn,200,290.5,801,12,197,592,0
2,sharp-turn,250,340.5,2788,580,708,1460,40
2,sharp-turn,300,390.5,5435,1763,918,2038,716
2,sharp-turn,350,440.5,7118,2914,970,2378,856
2,sharp-turn,400,490.5,7298,3021,1029,2389,859
2,sharp-turn,450,540.5,7666,3064,1122,2621,859
3,lane-change,0,90.5,0,0,0,0,0
3,lane-change,50,140.5,0,0,0,0,0
3,lane-change,100,190.5,86,9,0,0,77
3,lane-change,150,240.5,343,84,0,0,259
3,lane-change,200,290.5,715,347,0,16,352
3,lane-change,250,340.5,1628,793,0,288,547
3,lane-change,300,390.5,2290,1170,0,444,676
3,lane-change,350,440.5,2519,1334,0,479,706
3,lane-change,400,870.5,2661,1466,0,498,697
3,lane-change,450,900.5,2858,1662,0,499,697
