zone,zone_name,extra_ms,age_path_ms,total_hard,z0_hard,z1_hard,z2_hard,z3_hard
0,straight,0,90.5,0,0,0,0,0
0,straight,50,140.5,0,0,0,0,0
0,straight,100,190.5,0,0,0,0,0
0,straight,150,240.5,0,0,0,0,0
0,straight,200,290.5,166,157,0,0,9
0,straight,250,340.5,3500,1802,474,937,287
0,straight,300,390.5,4819,2279,681,1315,544
0,straight,350,440.5,6488,2612,914,2300,662
0,straight,400,490.5,5967,2524,790,2039,614
0,straight,450,540.5,7455,3045,1113,2540,757
1,slight-turn,0,90.5,0,0,0,0,0
1,slight-turn,50,140.5,0,0,0,0,0
1,slight-turn,100,190.5,0,0,0,0,0
1,slight-turn,150,240.5,0,0,0,0,0
1,slight-turn,200,290.5,76,0,36,40,0
1,slight-turn,250,340.5,159,0,83,76,0
1,slight-turn,300,390.5,831,139,219,473,0
1,slight-turn,350,440.5,2291,470,492,1152,177
1,slight-turn,400,490.5,3401,807,667,1527,400
1,slight-turn,450,540.5,4059,1147,739,1685,488
2,sharp-turn,0,90.5,0,0,0,0,0
2,sharp-turn,50,140.5,0,0,0,0,0
2,sharp-turn,100,190.5,0,0,0,0,0
2,sharp-turn,150,240.5,70,0,70,0,0
2,sharp-turn,200,290.5,529,0,169,360,0
2,sharp-turn,250,340.5,2680,627,541,1182,330
2,sharp-turn,300,390.5,5273,2112,655,1777,729
2,sharp-turn,350,440.5,5937,2360,834,1985,758
2,sharp-turn,400,490.5,6268,2426,922,2160,760
2,sharp-turn,450,540.5,6277,2473,916,2128,760
3,lane-change,0,90.5,0,0,0,0,0
3,lane-change,50,140.5,38,0,0,0,38
3,lane-change,100,190.5,121,7,0,0,114
3,lane-change,150,240.5,576,258,0,3,315
3,lane-change,200,290.5,668,277,0,60,331
3,lane-change,250,340.5,1632,738,0,340,554
3,lane-change,300,390.5,2467,1424,0,421,622
3,lane-change,350,440.5,2450,1383,0,426,641
3,lane-change,400,490.5,2657,1574,0,432,651
3,lane-change,450,540.5,2686,1594,0,437,655
