zone,zone_name,extra_ms,phase_kind,phase,age_path_ms,total_hard,z0_hard,z1_hard,z2_hard,z3_hard,soft_pct,fleet_max_ey_m,z0_max_ey_m,z1_max_ey_m,z2_max_ey_m,z3_max_ey_m,f_stale_max_ms,profile,duration_s,git_sha,ff_extra_ms
2,sharp-turn,100,offset_ms,0.0,190.5,0,0,0,0,0,6.6,0.4397,0.2676,0.3844,0.3446,0.4397,22.3,12.5,95,e300ee3-dirty,0.0
2,sharp-turn,100,offset_ms,1.0,190.5,0,0,0,0,0,6.66,0.4446,0.2684,0.3868,0.3466,0.4446,22.3,12.5,95,e300ee3-dirty,0.0
2,sharp-turn,100,offset_ms,2.0,190.5,0,0,0,0,0,6.72,0.4494,0.2692,0.3893,0.3487,0.4494,22.3,12.5,95,e300ee3-dirty,0.0
2,sharp-turn,100,offset_ms,3.0,190.5,0,0,0,0,0,6.77,0.4542,0.2702,0.3918,0.3507,0.4542,22.3,12.5,95,e300ee3-dirty,0.0
2,sharp-turn,100,offset_ms,4.0,190.5,0,0,0,0,0,6.84,0.459,0.272,0.3942,0.3527,0.459,22.3,12.5,95,e300ee3-dirty,0.0
2,sharp-turn,100,offset_ms,5.0,190.5,0,0,0,0,0,6.88,0.4639,0.274,0.3968,0.3547,0.4639,22.3,12.5,95,e300ee3-dirty,0.0
2,sharp-turn,100,offset_ms,6.0,190.5,0,0,0,0,0,6.93,0.4687,0.276,0.3993,0.3567,0.4687,22.3,12.5,95,e300ee3-dirty,0.0
2,sharp-turn,100,offset_ms,7.0,190.5,0,0,0,0,0,6.99,0.4735,0.278,0.4018,0.3587,0.4735,22.3,12.5,95,e300ee3-dirty,0.0
2,sharp-turn,100,offset_ms,8.0,190.5,0,0,0,0,0,7.02,0.4784,0.2799,0.4044,0.3606,0.4784,22.3,12.5,95,e300ee3-dirty,0.0
2,sharp-turn,100,offset_ms,9.0,190.5,0,0,0,0,0,7.06,0.4832,0.2819,0.4069,0.3626,0.4832,22.3,12.5,95,e300ee3-dirty,0.0
2,sharp-turn,100,offset_ms,10.0,190.5,0,0,0,0,0,7.17,0.4881,0.2839,0.4134,0.3634,0.4881,22.3,12.5,95,e300ee3-dirty,0.0
2,sharp-turn,100,offset_ms,11.0,190.5,0,0,0,0,0,7.22,0.4929,0.2858,0.416,0.3654,0.4929,22.3,12.5,95,e300ee3-dirty,0.0
2,sharp-turn,100,offset_ms,12.0,190.5,0,0,0,0,0,7.24,0.4978,0.2878,0.4186,0.3673,0.4978,22.3,12.5,95,e300ee3-dirty,0.0
2,sharp-turn,100,offset_ms,13.0,190.5,0,0,0,0,0,7.28,0.5026,0.2897,0.4212,0.3693,0.5026,22.3,12.5,95,e300ee3-dirty,0.0
2,sharp-turn,100,offset_ms,14.0,190.5,0,0,0,0,0,7.36,0.5075,0.2917,0.4238,0.3712,0.5075,22.3,12.5,95,e300ee3-dirty,0.0
2,sharp-turn,100,offset_ms,15.0,190.5,0,0,0,0,0,7.45,0.5123,0.2936,0.4264,0.3732,0.5123,22.3,12.5,95,e300ee3-dirty,0.0
