zone,zone_name,extra_ms,phase_kind,phase,age_path_ms,total_hard,z0_hard,z1_hard,z2_hard,z3_hard,soft_pct,fleet_max_ey_m,z0_max_ey_m,z1_max_ey_m,z2_max_ey_m,z3_max_ey_m,f_stale_max_ms,profile,duration_s,git_sha,ff_extra_ms
3,lane-change,0,offset_ms,0.0,90.5,0,0,0,0,0,2.78,0.3418,0.2883,0.096,0.0901,0.3418,35.8,10,120,b96a8c6-dirty,13.5
3,lane-change,0,offset_ms,1.0,90.5,0,0,0,0,0,2.8,0.3455,0.2913,0.0972,0.0911,0.3455,35.8,10,120,b96a8c6-dirty,13.5
3,lane-change,0,offset_ms,2.0,90.5,0,0,0,0,0,2.9,0.3492,0.2944,0.0984,0.0921,0.3492,35.8,10,120,b96a8c6-dirty,13.5
3,lane-change,0,offset_ms,3.0,90.5,0,0,0,0,0,3.0,0.353,0.2975,0.0995,0.093,0.353,35.8,10,120,b96a8c6-dirty,13.5
3,lane-change,0,offset_ms,4.0,90.5,0,0,0,0,0,3.08,0.3567,0.3005,0.1007,0.094,0.3567,35.8,10,120,b96a8c6-dirty,13.5
3,lane-change,0,offset_ms,5.0,90.5,0,0,0,0,0,3.15,0.3605,0.3036,0.1019,0.095,0.3605,35.8,10,120,b96a8c6-dirty,13.5
3,lane-change,0,offset_ms,6.0,90.5,0,0,0,0,0,3.2,0.3642,0.3067,0.1031,0.0959,0.3642,35.8,10,120,b96a8c6-dirty,13.5
3,lane-change,0,offset_ms,7.0,90.5,0,0,0,0,0,3.27,0.368,0.3098,0.1043,0.0969,0.368,35.8,10,120,b96a8c6-dirty,13.5
3,lane-change,0,offset_ms,8.0,90.5,0,0,0,0,0,3.32,0.3718,0.313,0.1055,0.0978,0.3718,35.8,10,120,b96a8c6-dirty,13.5
3,lane-change,0,offset_ms,9.0,90.5,0,0,0,0,0,3.37,0.3756,0.3161,0.1067,0.0988,0.3756,35.8,10,120,b96a8c6-dirty,13.5
3,lane-change,0,offset_ms,10.0,90.5,0,0,0,0,0,3.42,0.3794,0.3193,0.1099,0.1015,0.3794,35.8,10,120,b96a8c6-dirty,13.5
3,lane-change,0,offset_ms,11.0,90.5,0,0,0,0,0,3.48,0.3832,0.3224,0.1111,0.1025,0.3832,35.8,10,120,b96a8c6-dirty,13.5
