zone,zone_name,extra_ms,phase_kind,phase,age_path_ms,total_hard,z0_hard,z1_hard,z2_hard,z3_hard,soft_pct,fleet_max_ey_m,z0_max_ey_m,z1_max_ey_m,z2_max_ey_m,z3_max_ey_m,f_stale_max_ms,profile,duration_s,git_sha,ff_extra_ms
3,lane-change,0,offset_ms,0.0,90.5,0,0,0,0,0,3.29,0.4464,0.2603,0.2028,0.1765,0.4464,35.8,12.5,95,b96a8c6-dirty,13.5
3,lane-change,0,offset_ms,1.0,90.5,0,0,0,0,0,3.38,0.4512,0.2622,0.2052,0.1782,0.4512,35.8,12.5,95,b96a8c6-dirty,13.5
3,lane-change,0,offset_ms,2.0,90.5,0,0,0,0,0,3.4,0.4561,0.2642,0.2076,0.1799,0.4561,35.8,12.5,95,b96a8c6-dirty,13.5
3,lane-change,0,offset_ms,3.0,90.5,0,0,0,0,0,3.48,0.4609,0.2662,0.21,0.1816,0.4609,35.8,12.5,95,b96a8c6-dirty,13.5
3,lane-change,0,offset_ms,4.0,90.5,0,0,0,0,0,3.54,0.4657,0.2681,0.2125,0.1833,0.4657,35.8,12.5,95,b96a8c6-dirty,13.5
3,lane-change,0,offset_ms,5.0,90.5,0,0,0,0,0,3.58,0.4706,0.2701,0.2149,0.185,0.4706,35.8,12.5,95,b96a8c6-dirty,13.5
3,lane-change,0,offset_ms,6.0,90.5,0,0,0,0,0,3.62,0.4754,0.2721,0.2173,0.1867,0.4754,35.8,12.5,95,b96a8c6-dirty,13.5
3,lane-change,0,offset_ms,7.0,90.5,0,0,0,0,0,3.83,0.4802,0.274,0.2197,0.1884,0.4802,35.8,12.5,95,b96a8c6-dirty,13.5
3,lane-change,0,offset_ms,8.0,90.5,0,0,0,0,0,3.98,0.4851,0.276,0.2222,0.1901,0.4851,35.8,12.5,95,b96a8c6-dirty,13.5
3,lane-change,0,offset_ms,9.0,90.5,0,0,0,0,0,4.11,0.4899,0.2782,0.2246,0.1918,0.4899,35.8,12.5,95,b96a8c6-dirty,13.5
3,lane-change,0,offset_ms,10.0,90.5,0,0,0,0,0,4.24,0.4948,0.2804,0.2297,0.1927,0.4948,35.8,12.5,95,b96a8c6-dirty,13.5
3,lane-change,0,offset_ms,11.0,90.5,0,0,0,0,0,4.32,0.4996,0.2828,0.2321,0.1944,0.4996,35.8,12.5,95,b96a8c6-dirty,13.5
3,lane-change,0,offset_ms,12.0,90.5,0,0,0,0,0,4.39,0.5045,0.2851,0.2345,0.1961,0.5045,35.8,12.5,95,b96a8c6-dirty,13.5
3,lane-change,0,offset_ms,13.0,90.5,0,0,0,0,0,4.47,0.5094,0.2874,0.237,0.1977,0.5094,35.8,12.5,95,b96a8c6-dirty,13.5
3,lane-change,0,offset_ms,14.0,90.5,0,0,0,0,0,4.57,0.5142,0.2898,0.2394,0.1994,0.5142,35.8,12.5,95,b96a8c6-dirty,13.5
3,lane-change,0,offset_ms,15.0,90.5,0,0,0,0,0,4.63,0.5191,0.2921,0.2419,0.2011,0.5191,35.8,12.5,95,b96a8c6-dirty,13.5
