zone,zone_name,extra_ms,phase_kind,phase,age_path_ms,total_hard,z0_hard,z1_hard,z2_hard,z3_hard,soft_pct,fleet_max_ey_m,z0_max_ey_m,z1_max_ey_m,z2_max_ey_m,z3_max_ey_m,f_stale_max_ms,profile,duration_s,git_sha,ff_extra_ms
3,lane-change,0,offset_ms,0.0,90.5,0,0,0,0,0,9.2,0.5006,0.3903,0.3596,0.3013,0.5006,35.8,15,79,b96a8c6-dirty,13.5
3,lane-change,0,offset_ms,1.0,90.5,0,0,0,0,0,9.3,0.5065,0.3918,0.3644,0.3025,0.5065,35.8,15,79,b96a8c6-dirty,13.5
3,lane-change,0,offset_ms,2.0,90.5,0,0,0,0,0,9.43,0.5124,0.3934,0.3692,0.3036,0.5124,35.8,15,79,b96a8c6-dirty,13.5
3,lane-change,0,offset_ms,3.0,90.5,0,0,0,0,0,9.49,0.5183,0.395,0.374,0.3047,0.5183,35.8,15,79,b96a8c6-dirty,13.5
3,lane-change,0,offset_ms,4.0,90.5,0,0,0,0,0,9.61,0.5242,0.3966,0.3789,0.3059,0.5242,35.8,15,79,b96a8c6-dirty,13.5
3,lane-change,0,offset_ms,5.0,90.5,0,0,0,0,0,9.68,0.5301,0.3982,0.3837,0.307,0.5301,35.8,15,79,b96a8c6-dirty,13.5
3,lane-change,0,offset_ms,6.0,90.5,0,0,0,0,0,9.84,0.536,0.3999,0.3885,0.3081,0.536,35.8,15,79,b96a8c6-dirty,13.5
3,lane-change,0,offset_ms,7.0,90.5,0,0,0,0,0,10.09,0.5419,0.4016,0.3933,0.3092,0.5419,35.8,15,79,b96a8c6-dirty,13.5
3,lane-change,0,offset_ms,8.0,90.5,0,0,0,0,0,10.28,0.5479,0.4033,0.3982,0.3102,0.5479,35.8,15,79,b96a8c6-dirty,13.5
3,lane-change,0,offset_ms,9.0,90.5,0,0,0,0,0,10.43,0.5538,0.4051,0.403,0.3113,0.5538,35.8,15,79,b96a8c6-dirty,13.5
3,lane-change,0,offset_ms,10.0,90.5,0,0,0,0,0,10.67,0.5599,0.4069,0.4099,0.3104,0.5599,35.8,15,79,b96a8c6-dirty,13.5
3,lane-change,0,offset_ms,11.0,90.5,0,0,0,0,0,10.77,0.5659,0.4087,0.4147,0.3115,0.5659,35.8,15,79,b96a8c6-dirty,13.5
3,lane-change,0,offset_ms,12.0,90.5,0,0,0,0,0,10.94,0.5718,0.4105,0.4195,0.3125,0.5718,35.8,15,79,b96a8c6-dirty,13.5
3,lane-change,0,offset_ms,13.0,90.5,0,0,0,0,0,11.14,0.5778,0.4123,0.4244,0.3135,0.5778,35.8,15,79,b96a8c6-dirty,13.5
3,lane-change,0,offset_ms,14.0,90.5,0,0,0,0,0,11.3,0.5838,0.4142,0.4292,0.3161,0.5838,35.8,15,79,b96a8c6-dirty,13.5
3,lane-change,0,offset_ms,15.0,90.5,0,0,0,0,0,11.59,0.5897,0.4161,0.434,0.3191,0.5897,35.8,15,79,b96a8c6-dirty,13.5
3,lane-change,0,offset_ms,16.0,90.5,0,0,0,0,0,11.8,0.5957,0.418,0.4389,0.3222,0.5957,35.8,15,79,b96a8c6-dirty,13.5
3,lane-change,0,offset_ms,17.0,90.5,0,0,0,0,0,12.0,0.6017,0.4199,0.4437,0.3254,0.6017,35.8,15,79,b96a8c6-dirty,13.5
3,lane-change,0,offset_ms,18.0,90.5,0,0,0,0,0,12.23,0.6077,0.4219,0.4486,0.3285,0.6077,35.8,15,79,b96a8c6-dirty,13.5
3,lane-change,0,offset_ms,19.0,90.5,0,0,0,0,0,12.37,0.6137,0.4239,0.4534,0.3316,0.6137,35.8,15,79,b96a8c6-dirty,13.5
3,lane-change,0,offset_ms,19.9,90.5,0,0,0,0,0,12.48,0.6191,0.4257,0.4578,0.3345,0.6191,35.8,15,79,b96a8c6-dirty,13.5
3,lane-change,10,offset_ms,0.0,100.5,0,0,0,0,0,10.03,0.5485,0.4588,0.3596,0.3013,0.5485,35.8,15,79,b96a8c6-dirty,13.5
3,lane-change,10,offset_ms,1.0,100.5,0,0,0,0,0,10.15,0.5528,0.4608,0.3644,0.3025,0.5528,35.8,15,79,b96a8c6-dirty,13.5
