zone,zone_name,extra_ms,phase_kind,phase,age_path_ms,total_hard,z0_hard,z1_hard,z2_hard,z3_hard,soft_pct,fleet_max_ey_m,z0_max_ey_m,z1_max_ey_m,z2_max_ey_m,z3_max_ey_m,f_stale_max_ms,profile,duration_s,git_sha,ff_extra_ms
3,lane-change,0,offset_ms,0.0,90.5,0,0,0,0,0,2.73,0.3381,0.2867,0.0937,0.0888,0.3381,22.3,10,120,b96a8c6-dirty,0.0
3,lane-change,0,offset_ms,1.0,90.5,0,0,0,0,0,2.77,0.3418,0.2896,0.0949,0.0897,0.3418,22.3,10,120,b96a8c6-dirty,0.0
3,lane-change,0,offset_ms,2.0,90.5,0,0,0,0,0,2.81,0.3454,0.2926,0.0961,0.0907,0.3454,22.3,10,120,b96a8c6-dirty,0.0
3,lane-change,0,offset_ms,3.0,90.5,0,0,0,0,0,2.94,0.3491,0.2956,0.0972,0.0917,0.3491,22.3,10,120,b96a8c6-dirty,0.0
3,lane-change,0,offset_ms,4.0,90.5,0,0,0,0,0,3.02,0.3529,0.2986,0.0984,0.0926,0.3529,22.3,10,120,b96a8c6-dirty,0.0
3,lane-change,0,offset_ms,5.0,90.5,0,0,0,0,0,3.12,0.3566,0.3017,0.0996,0.0936,0.3566,22.3,10,120,b96a8c6-dirty,0.0
3,lane-change,0,offset_ms,6.0,90.5,0,0,0,0,0,3.17,0.3603,0.3047,0.1008,0.0946,0.3603,22.3,10,120,b96a8c6-dirty,0.0
3,lane-change,0,offset_ms,7.0,90.5,0,0,0,0,0,3.22,0.3641,0.3078,0.102,0.0956,0.3641,22.3,10,120,b96a8c6-dirty,0.0
3,lane-change,0,offset_ms,8.0,90.5,0,0,0,0,0,3.27,0.3678,0.3109,0.1032,0.0965,0.3678,22.3,10,120,b96a8c6-dirty,0.0
3,lane-change,0,offset_ms,9.0,90.5,0,0,0,0,0,3.32,0.3716,0.314,0.1044,0.0975,0.3716,22.3,10,120,b96a8c6-dirty,0.0
