zone,zone_name,extra_ms,phase_kind,phase,age_path_ms,total_hard,z0_hard,z1_hard,z2_hard,z3_hard,soft_pct,fleet_max_ey_m,z0_max_ey_m,z1_max_ey_m,z2_max_ey_m,z3_max_ey_m,profile,duration_s,git_sha
3,lane-change,0,offset_ms,0.0,90.5,0,0,0,0,0,3.15,0.4397,0.2677,0.1986,0.1758,0.4397,12.5,95,d835913-dirty
3,lane-change,0,offset_ms,1.0,90.5,0,0,0,0,0,3.24,0.4445,0.2685,0.201,0.1775,0.4445,12.5,95,d835913-dirty
3,lane-change,0,offset_ms,2.0,90.5,0,0,0,0,0,3.35,0.4493,0.2693,0.2034,0.1793,0.4493,12.5,95,d835913-dirty
3,lane-change,0,offset_ms,3.0,90.5,0,0,0,0,0,3.44,0.4541,0.2703,0.2058,0.181,0.4541,12.5,95,d835913-dirty
3,lane-change,0,offset_ms,4.0,90.5,0,0,0,0,0,3.48,0.459,0.272,0.2082,0.1827,0.459,12.5,95,d835913-dirty
3,lane-change,0,offset_ms,5.0,90.5,0,0,0,0,0,3.55,0.4638,0.274,0.2106,0.1844,0.4638,12.5,95,d835913-dirty
3,lane-change,0,offset_ms,6.0,90.5,0,0,0,0,0,3.59,0.4686,0.276,0.213,0.1861,0.4686,12.5,95,d835913-dirty
3,lane-change,0,offset_ms,7.0,90.5,0,0,0,0,0,3.65,0.4735,0.278,0.2154,0.1879,0.4735,12.5,95,d835913-dirty
3,lane-change,0,offset_ms,8.0,90.5,0,0,0,0,0,3.69,0.4783,0.2799,0.2178,0.1896,0.4783,12.5,95,d835913-dirty
3,lane-change,0,offset_ms,9.0,90.5,0,0,0,0,0,3.94,0.4831,0.2819,0.2203,0.1913,0.4831,12.5,95,d835913-dirty
3,lane-change,0,offset_ms,10.0,90.5,0,0,0,0,0,4.12,0.488,0.2839,0.2253,0.1921,0.488,12.5,95,d835913-dirty
3,lane-change,0,offset_ms,11.0,90.5,0,0,0,0,0,4.23,0.4928,0.2858,0.2277,0.1938,0.4928,12.5,95,d835913-dirty
3,lane-change,0,offset_ms,12.0,90.5,0,0,0,0,0,4.31,0.4977,0.2878,0.2302,0.1955,0.4977,12.5,95,d835913-dirty
3,lane-change,0,offset_ms,13.0,90.5,0,0,0,0,0,4.38,0.5025,0.2897,0.2326,0.1972,0.5025,12.5,95,d835913-dirty
3,lane-change,0,offset_ms,14.0,90.5,0,0,0,0,0,4.48,0.5074,0.2917,0.235,0.1989,0.5074,12.5,95,d835913-dirty
3,lane-change,0,offset_ms,15.0,90.5,0,0,0,0,0,4.57,0.5122,0.2936,0.2375,0.2006,0.5122,12.5,95,d835913-dirty
3,lane-change,0,offset_ms,16.0,90.5,0,0,0,0,0,4.66,0.5171,0.2955,0.2399,0.2023,0.5171,12.5,95,d835913-dirty
3,lane-change,0,offset_ms,17.0,90.5,0,0,0,0,0,4.76,0.5219,0.2974,0.2423,0.2039,0.5219,12.5,95,d835913-dirty
3,lane-change,0,offset_ms,18.0,90.5,0,0,0,0,0,4.85,0.5268,0.2993,0.2448,0.2056,0.5268,12.5,95,d835913-dirty
3,lane-change,0,offset_ms,19.0,90.5,0,0,0,0,0,4.94,0.5317,0.3012,0.2472,0.2073,0.5317,12.5,95,d835913-dirty
3,lane-change,0,offset_ms,19.9,90.5,0,0,0,0,0,4.99,0.5361,0.3029,0.2495,0.2088,0.5361,12.5,95,d835913-dirty
3,lane-change,10,offset_ms,0.0,100.5,0,0,0,0,0,3.63,0.4652,0.3319,0.1986,0.1758,0.4652,12.5,95,d835913-dirty
3,lane-change,10,offset_ms,1.0,100.5,0,0,0,0,0,3.78,0.4701,0.3328,0.201,0.1775,0.4701,12.5,95,d835913-dirty
3,lane-change,10,offset_ms,2.0,100.5,0,0,0,0,0,3.91,0.4751,0.3337,0.2034,0.1793,0.4751,12.5,95,d835913-dirty
3,lane-change,10,offset_ms,3.0,100.5,0,0,0,0,0,4.0,0.48,0.3346,0.2058,0.181,0.48,12.5,95,d835913-dirty
3,lane-change,10,offset_ms,4.0,100.5,0,0,0,0,0,4.06,0.4849,0.3356,0.2082,0.1827,0.4849,12.5,95,d835913-dirty
3,lane-change,10,offset_ms,5.0,100.5,0,0,0,0,0,4.12,0.4899,0.3366,0.2106,0.1844,0.4899,12.5,95,d835913-dirty
3,lane-change,10,offset_ms,6.0,100.5,0,0,0,0,0,4.17,0.4948,0.3377,0.213,0.1861,0.4948,12.5,95,d835913-dirty
