zone,zone_name,extra_ms,phase_kind,phase,age_path_ms,total_hard,z0_hard,z1_hard,z2_hard,z3_hard,soft_pct,fleet_max_ey_m,z0_max_ey_m,z1_max_ey_m,z2_max_ey_m,z3_max_ey_m,profile,duration_s,git_sha
3,lane-change,0,offset_ms,0.0,90.5,0,0,0,0,0,9.06,0.494,0.3961,0.3511,0.3065,0.494,15,79,d835913-dirty
3,lane-change,0,offset_ms,1.0,90.5,0,0,0,0,0,9.16,0.4998,0.3976,0.3559,0.3077,0.4998,15,79,d835913-dirty
3,lane-change,0,offset_ms,2.0,90.5,0,0,0,0,0,9.3,0.5057,0.3991,0.3607,0.3089,0.5057,15,79,d835913-dirty
3,lane-change,0,offset_ms,3.0,90.5,0,0,0,0,0,9.35,0.5115,0.4007,0.3655,0.3101,0.5115,15,79,d835913-dirty
3,lane-change,0,offset_ms,4.0,90.5,0,0,0,0,0,9.51,0.5174,0.4022,0.3703,0.3112,0.5174,15,79,d835913-dirty
3,lane-change,0,offset_ms,5.0,90.5,0,0,0,0,0,9.56,0.5232,0.4038,0.3751,0.3123,0.5232,15,79,d835913-dirty
3,lane-change,0,offset_ms,6.0,90.5,0,0,0,0,0,9.67,0.5291,0.4055,0.3799,0.3135,0.5291,15,79,d835913-dirty
3,lane-change,0,offset_ms,7.0,90.5,0,0,0,0,0,9.77,0.535,0.4071,0.3847,0.3146,0.535,15,79,d835913-dirty
3,lane-change,0,offset_ms,8.0,90.5,0,0,0,0,0,10.01,0.5409,0.4088,0.3896,0.3157,0.5409,15,79,d835913-dirty
3,lane-change,0,offset_ms,9.0,90.5,0,0,0,0,0,10.18,0.5468,0.4105,0.3944,0.3168,0.5468,15,79,d835913-dirty
3,lane-change,0,offset_ms,10.0,90.5,0,0,0,0,0,10.49,0.5529,0.4122,0.4012,0.3159,0.5529,15,79,d835913-dirty
3,lane-change,0,offset_ms,11.0,90.5,0,0,0,0,0,10.63,0.5588,0.414,0.406,0.317,0.5588,15,79,d835913-dirty
3,lane-change,0,offset_ms,12.0,90.5,0,0,0,0,0,10.77,0.5648,0.4158,0.4108,0.318,0.5648,15,79,d835913-dirty
3,lane-change,0,offset_ms,13.0,90.5,0,0,0,0,0,10.87,0.5707,0.4176,0.4156,0.3191,0.5707,15,79,d835913-dirty
3,lane-change,0,offset_ms,14.0,90.5,0,0,0,0,0,11.1,0.5766,0.4194,0.4205,0.3201,0.5766,15,79,d835913-dirty
3,lane-change,0,offset_ms,15.0,90.5,0,0,0,0,0,11.38,0.5826,0.4212,0.4253,0.3211,0.5826,15,79,d835913-dirty
3,lane-change,0,offset_ms,16.0,90.5,0,0,0,0,0,11.61,0.5886,0.4231,0.4301,0.3221,0.5886,15,79,d835913-dirty
3,lane-change,0,offset_ms,17.0,90.5,0,0,0,0,0,11.82,0.5945,0.425,0.435,0.3231,0.5945,15,79,d835913-dirty
3,lane-change,0,offset_ms,18.0,90.5,0,0,0,0,0,12.04,0.6005,0.4269,0.4398,0.3241,0.6005,15,79,d835913-dirty
3,lane-change,0,offset_ms,19.0,90.5,0,0,0,0,0,12.19,0.6065,0.4288,0.4446,0.3272,0.6065,15,79,d835913-dirty
3,lane-change,0,offset_ms,19.9,90.5,0,0,0,0,0,12.32,0.6118,0.4306,0.449,0.33,0.6118,15,79,d835913-dirty
3,lane-change,10,offset_ms,0.0,100.5,0,0,0,0,0,9.85,0.5494,0.4637,0.3511,0.3065,0.5494,15,79,d835913-dirty
3,lane-change,10,offset_ms,1.0,100.5,0,0,0,0,0,9.97,0.5534,0.4657,0.3559,0.3077,0.5534,15,79,d835913-dirty
3,lane-change,10,offset_ms,2.0,100.5,0,0,0,0,0,10.15,0.5574,0.4677,0.3607,0.3089,0.5574,15,79,d835913-dirty
3,lane-change,10,offset_ms,3.0,100.5,0,0,0,0,0,10.35,0.5616,0.4697,0.3655,0.3101,0.5616,15,79,d835913-dirty
3,lane-change,10,offset_ms,4.0,100.5,0,0,0,0,0,10.51,0.5659,0.4717,0.3703,0.3112,0.5659,15,79,d835913-dirty
3,lane-change,10,offset_ms,5.0,100.5,0,0,0,0,0,10.66,0.5704,0.4738,0.3751,0.3123,0.5704,15,79,d835913-dirty
